name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
AJ Cunningham,The Savage,11.0,4.0,0,29.0,17,0.0,0.29,0.0,0.0,0.0,70,71,0.0,7.66,6.85,11.9,0.48,0.33
AJ Dobson,178,7.0,3.0,0,32.0,17,0.28,0.46,1.67,0.75,0.3,73,76,0.0,4.29,10.783333333333333,5.31,0.46,0.65
AJ Fletcher,The Ghost,10.0,3.0,0,27.0,17,0.31,0.49,1.54,0.35,0.9,70,67,3.0,3.36,9.716666666666667,4.61,0.46,0.33
Aalon Cruz,145,8.0,4.0,0,34.0,17,0.85,0.39,0.0,0.0,0.0,72,78,3.0,7.58,5.9,8.88,0.58,0.0
Aaron Jeffery,343,10.0,3.0,0,31.0,80,0.0,0.45,0.0,0.0,0.0,74,73,0.0,3.1,9.2,4.46,0.34,0.5
Aaron Phillips,The Dragon,12.0,5.0,0,34.0,17,0.0,0.53,0.86,0.5,0.6,69,71,1.0,1.51,13.116666666666667,3.66,0.43,0.44
Aaron Riley,633,30.0,14.0,1,43.0,17,0.15,0.34,1.18,0.34,0.1,68,69,1.0,3.45,10.133333333333333,3.78,0.61,0.6
Aaron Rosa,648,18.0,6.0,0,41.0,17,0.0,0.47,0.36,0.33,0.4,76,77,0.0,4.03,8.3,4.41,0.45,0.85
Aaron Simpson,ATrain,12.0,5.0,0,49.0,17,0.83,0.52,3.78,0.34,0.5,72,73,0.0,3.6,10.583333333333334,2.53,0.56,0.83
Abdul Razak Alhassan,625,12.0,6.0,0,38.0,68,1.78,0.48,0.89,0.38,0.2,70,73,0.0,3.37,6.5,3.99,0.55,0.5
AbdulKareem AlSelwady,Pride of Palestine,15.0,4.0,0,29.0,17,0.0,0.34,2.32,0.3,0.0,68,69,0.0,4.14,12.916666666666666,3.6,0.59,0.2
Abel Trujillo,Killa,15.0,8.0,0,40.0,17,0.44,0.41,2.18,0.45,0.4,68,70,0.0,2.65,9.383333333333333,2.31,0.59,0.4
Abu Azaitar,Captain Morocco,14.0,4.0,1,38.0,33,0.0,0.43,1.0,0.37,0.0,69,76,0.0,4.38,14.983333333333333,4.32,0.51,0.42
Abubakar Nurmagomedov,551,17.0,4.0,1,34.0,51,0.0,0.53,1.25,0.22,0.0,71,72,0.0,2.78,11.966666666666667,2.61,0.65,0.88
