name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
AJ Cunningham,The Savage,10.0,3.0,0,"5' 10""",145 lbs.,"71""",Orthodox,7-Sep-94,7.58,24%,11.32,54%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,10,3,0,"5' 10""",145 lbs.,"71""",Orthodox,7-Sep-94,7.58,24%,11.32,54%,0.0,0%,0%,0.0
AJ Fonseca,!,5.0,4.0,0,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,4,0,"5' 4""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
AJ Matthews,!,8.0,7.0,0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,7,0,"5' 11""",185 lbs.,--,,--,5.11,52%,4.96,51%,0.0,0%,100%,0.0
AJ McKee,Mercenary,8.0,0.0,0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0,,,,,,,,,,,,,,,,,,,,left_only,8,0,0,"5' 10""",145 lbs.,--,,--,2.75,32%,0.92,80%,11.01,100%,100%,11.0
AJ Siscoe,Lets Go,1.0,2.0,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,2,0,"5' 7""",135 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Ely,The Cyborg,5.0,2.0,0,"5' 8""",135 lbs.,--,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9,,,,,,,,,,,,,,,,,,,,left_only,5,2,0,"5' 8""",135 lbs.,--,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9
Aaron Lanfranco,!,5.0,1.0,0,--,155 lbs.,--,,26-Aug-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,1,0,--,155 lbs.,--,,26-Aug-86,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Miller,Blood Spiller,14.0,10.0,0 (1 NC),"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,10,0 (1 NC),"5' 9""",145 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Trujillo,!,0.0,1.0,0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 5""",125 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Aaron Wetherspoon,Slam,9.0,5.0,0 (1 NC),--,170 lbs.,--,,--,2.27,32%,4.33,45%,0.0,0%,77%,0.0,,,,,,,,,,,,,,,,,,,,left_only,9,5,0 (1 NC),--,170 lbs.,--,,--,2.27,32%,4.33,45%,0.0,0%,77%,0.0
Abel Cullum,The Silent Assassin,20.0,6.0,0,"5' 7""",139 lbs.,--,Orthodox,21-Apr-87,1.82,40%,1.23,46%,4.01,52%,0%,2.8,,,,,,,,,,,,,,,,,,,,left_only,20,6,0,"5' 7""",139 lbs.,--,Orthodox,21-Apr-87,1.82,40%,1.23,46%,4.01,52%,0%,2.8
Abongo Humphrey,!,7.0,3.0,0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8,,,,,,,,,,,,,,,,,,,,left_only,7,3,0,"5' 11""",205 lbs.,--,Orthodox,--,1.45,40%,3.83,46%,1.41,37%,33%,3.8
Abram Torres,!,4.0,3.0,0,"5' 10""",170 lbs.,--,,29-Oct-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,3,0,"5' 10""",170 lbs.,--,,29-Oct-82,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Acacio Dos Santos,Pequeno,14.0,5.0,0,"6' 4""",205 lbs.,"79""",Orthodox,29-Sep-91,1.27,41%,1.4,43%,0.0,0%,31%,0.0,,,,,,,,,,,,,,,,,,,,left_only,14,5,0,"6' 4""",205 lbs.,"79""",Orthodox,29-Sep-91,1.27,41%,1.4,43%,0.0,0%,31%,0.0
Achmed Labasanov,!,7.0,4.0,0,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3.0,100%,0%,0.8,,,,,,,,,,,,,,,,,,,,left_only,7,4,0,"6' 3""",215 lbs.,--,Orthodox,24-Apr-78,0.75,39%,1.1,46%,3.0,100%,0%,0.8
Adam Lynn,!,17.0,10.0,0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,10,0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--,1.47,63%,6.95,10%,0.0,0%,50%,0.0
Adam Meredith,!,5.0,3.0,0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9,,,,,,,,,,,,,,,,,,,,left_only,5,3,0,"6' 2""",170 lbs.,--,,--,2.63,50%,2.11,55%,7.89,100%,100%,7.9
