fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Leon Edwards vs Colby Covington,Leon Edwards,Colby Covington,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,yes,Main Event,21,17,3,3,0,0,32,35,Held by Edwards,United Kingdom,United States,66%,34%
Alexandre Pantoja vs Brandon Royval,Alexandre Pantoja,Brandon Royval,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,yes,Co-Main Event,26,15,5,6,0,0,33,31,Held by Pantoja,Brazil,United States,14%,86%
Shavkat Rakhmonov vs Stephen Thompson,Shavkat Rakhmonov,Stephen Thompson,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Main Card,17,17,0,6,0,1,29,40,,Kazakhstan,United States,9%,91%
Paddy Pimblett vs Tony Ferguson,Paddy Pimblett,Tony Ferguson,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Main Card,20,25,3,9,0,0,28,39,,England,United States,32%,68%
Josh Emmett vs Bryce Mitchell,Josh Emmett,Bryce Mitchell,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Main Card,18,16,4,1,0,0,38,29,,United States,United States,33%,67%
Alonzo Menifield vs Dustin Jacoby,Alonzo Menifield,Dustin Jacoby,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,14,19,3,7,1,1,36,35,,United States,United States,71%,29%
Irene Aldana vs Karol Rosa,Irene Aldana,Karol Rosa,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,14,17,7,5,0,0,35,28,,Mexico,Brazil,12%,88%
Cody Garbrandt vs Brian Kelleher,Cody Garbrandt,Brian Kelleher,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,13,24,5,14,0,0,32,37,,United States,United States,17%,83%
Ariane Lipski vs Casey O'Neill,Ariane Lipski,Casey O'Neill,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,16,9,8,1,0,0,29,26,,Brazil,Scotland,78%,22%
Tagir Ulanbekov vs Cody Durden,Tagir Ulanbekov,Cody Durden,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,14,16,2,4,0,1,32,32,,Russia,United States,69%,31%
Andre Fili vs Lucas Almeida,Andre Fili,Lucas Almeida,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,22,14,10,2,0,0,33,32,,United States,Brazil,78%,22%
Shamil Gaziev vs Martin Buday,Shamil Gaziev,Martin Buday,UFC 296: Edwards vs. Covington,12.16.2023,T-Mobile Arena,no,Preliminary Card,11,13,0,1,0,0,33,32,,Bahrain,Slovak Republic,66%,34%
Yadong Song vs Chris Gutierrez,Yadong Song,Chris Gutierrez,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Event,20,20,7,4,1,2,26,32,,China,United States,10%,90%
Khalil Rountree Jr. vs Anthony Smith,Khalil Rountree Jr.,Anthony Smith,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Co-Main Event,12,37,5,18,0,0,33,35,,United States,United States,24%,76%
Nasrat Haqparast vs Jamie Mullarkey,Nasrat Haqparast,Jamie Mullarkey,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Card,15,17,5,6,0,0,28,29,,Afghanistan,Australia,21%,79%
Tim Elliott vs Sumudaerji,Tim Elliott,Sumudaerji,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Card,19,16,13,5,1,0,36,27,,United States,China,25%,75%
André Muniz vs Jun Yong Park,André Muniz,Jun Yong Park,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Main Card,23,17,6,5,0,0,33,32,,Brazil,South Korea,21%,79%
Kevin Jousset vs Kenan Song,Kevin Jousset,Kenan Song,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,9,21,2,7,0,0,30,33,,France,China,32%,68%
Hyun Sung Park vs Shannon Ross,Hyun Sung Park,Shannon Ross,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,8,13,0,8,0,0,28,34,,South Korea,Australia,4%,96%
Steve Garcia vs Melquizael Costa,Steve Garcia,Melquizael Costa,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,14,20,5,6,0,0,31,27,,United States,Brazil,74%,26%
Luana Santos vs Stephanie Egger,Luana Santos,Stephanie Egger,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,6,8,1,4,0,0,23,35,,Brazil,Switzerland,79%,21%
Tatsuro Taira vs Carlos Hernandez,Tatsuro Taira,Carlos Hernandez,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,14,9,0,2,0,0,23,30,,Japan,United States,5%,95%
Talita Alencar vs Rayanne Amanda,Talita Alencar,Rayanne Amanda,UFC Fight Night: Song vs. Gutierrez,12.09.2023,UFC Apex,no,Preliminary Card,4,14,0,6,1,0,33,28,,Brazil,Brazil,65%,35%
Arman Tsarukyan vs Beneil Dariush,Arman Tsarukyan,Beneil Dariush,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Event,20,22,3,5,0,1,27,34,,Armenia,Assyria,61%,39%
Jalin Turner vs Bobby Green,Jalin Turner,Bobby Green,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Co-Main Event,13,31,7,14,0,1,28,37,,United States,,60%,40%
Deiveson Figueiredo vs Rob Font,Deiveson Figueiredo,Rob Font,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,21,20,3,7,1,0,35,36,,Brazil,United States,50%,50%
Sean Brady vs Kelvin Gastelum,Sean Brady,Kelvin Gastelum,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,15,18,1,8,0,0,31,32,,United States,,63%,37%
Joaquim Silva vs Clay Guida,Joaquim Silva,Clay Guida,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,12,38,4,23,0,0,34,41,,Brazil,United States,78%,22%
Dustin Stoltzfus vs Punahele Soriano,Dustin Stoltzfus,Punahele Soriano,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Main Card,14,9,5,3,0,0,32,31,,United States,United States,94%,6%
Miesha Tate vs Julia Avila,Miesha Tate,Julia Avila,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,19,9,9,2,0,0,37,35,,United States,United States,31%,69%
Cody Brundage vs Zach Reese,Cody Brundage,Zach Reese,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,9,6,5,0,0,0,29,29,,United States,United States,89%,11%
Drakkar Klose vs Joe Solecki,Drakkar Klose,Joe Solecki,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,13,13,2,3,1,0,35,30,,United States,United States,28%,72%
Rodolfo Bellato vs Ihor Potieria,Rodolfo Bellato,Ihor Potieria,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,11,20,2,4,0,0,27,27,,Brazil,Ukraine,90%,10%
Jared Gooden vs Wellington Turman,Jared Gooden,Wellington Turman,UFC Fight Night: Dariush vs. Tsarukyan,12.02.2023,Moody Center,no,Preliminary Card,22,18,9,7,0,0,29,27,,United States,Brazil,24%,76%
