name,nickname,wins,losses,draws,height,weight,reach,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins)
Tom Aaron,,5,3,0,--,155 lbs.,--,,13-Jul-78,0,0%,0,0%,0,0%,0%,0
Danny Abbadi,The Assassin,4,6,0,"5' 11""",155 lbs.,--,Orthodox,3-Jul-83,3.29,38%,4.41,57%,0,0%,77%,0
Nariman Abbasov,Bayraktar,28,4,0,"5' 8""",155 lbs.,"66""",Orthodox,1-Feb-94,3,20%,5.67,46%,0,0%,66%,0
David Abbott,Tank,10,15,0,"6' 0""",265 lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0
Hamdy Abdelwahab,The Hammer,5,0,0 (1 NC),"6' 2""",264 lbs.,"72""",Southpaw,22-Jan-93,3.87,52%,3.13,59%,3,75%,0%,0
Shamil Abdurakhimov,Abrek,20,8,0,"6' 3""",235 lbs.,"76""",Orthodox,2-Sep-81,2.41,44%,3.02,55%,1.01,23%,45%,0.1
Hiroyuki Abe,Abe Ani,8,15,3 (1 NC),"5' 6""",145 lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0,0%,33%,0
Daichi Abe,,6,2,0,"5' 11""",170 lbs.,"71""",Orthodox,27-Nov-91,3.8,33%,4.49,56%,0.33,50%,0%,0
Papy Abedi,Makambo,10,4,0,"5' 11""",185 lbs.,--,Southpaw,30-Jun-78,2.8,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo Abreu,Demente,5,1,0,"5' 11""",185 lbs.,--,Orthodox,27-Apr-84,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Klidson Abreu,White Bear,15,4,0 (1 NC),"6' 0""",205 lbs.,"74""",Orthodox,24-Dec-92,2.05,40%,2.9,55%,0.64,20%,80%,0
Cyborg Abreu,,0,0,0,--,--,--,,20-Dec-80,0,0%,0,0%,0,0%,0%,0
Daniel Acacio,,30,18,0,"5' 8""",180 lbs.,--,Orthodox,27-Dec-77,3.52,36%,2.85,62%,0.33,20%,81%,0
John Adajar,The Outlaw,6,2,0,"5' 9""",170 lbs.,"75""",Orthodox,22-Jun-91,3.9,52%,6.28,44%,0,0%,0%,0
Scott Adams,,8,1,0,"6' 0""",225 lbs.,--,Southpaw,--,0,0%,0,0%,0,0%,0%,0
Juan Adams,The Kraken,5,3,0,"6' 5""",265 lbs.,"80""",Orthodox,16-Jan-92,7.09,55%,4.06,34%,0.91,66%,57%,0
Anthony Adams,Sugafoot,8,2,0,"6' 1""",185 lbs.,"76""",Orthodox,13-Jan-88,3.17,41%,5.93,44%,0,0%,0%,0
Zarrukh Adashev,The Lion,4,4,0,"5' 5""",125 lbs.,"65""",Southpaw,29-Jul-92,3.65,40%,3.04,64%,0,0%,100%,0.5
Israel Adesanya,The Last Stylebender,24,3,0,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89,3.93,48%,3.11,56%,0.05,14%,77%,0.1
Sam Adkins,The Experience,7,20,2,"6' 3""",225 lbs.,--,Orthodox,26-Apr-65,0,0%,0,0%,0,0%,0%,0
Nick Agallar,,24,6,0,"5' 8""",155 lbs.,--,Orthodox,13-Jan-79,0.69,11%,4.56,42%,0,0%,0%,0
Mariya Agapova,Demonslayer,10,4,0,"5' 6""",125 lbs.,"68""",Southpaw,7-Apr-97,4.67,55%,3.82,52%,0.59,66%,47%,0.9
Marcelo Aguiar,,2,3,1,"5' 10""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Fabio Aguiar,,17,1,0,"6' 0""",185 lbs.,--,,10-Feb-88,0,0%,0,0%,0,0%,0%,0
Edwin Aguilar,Tigre,26,19,0 (1 NC),"5' 10""",185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Jessica Aguilar,Jag,20,8,0,"5' 3""",115 lbs.,"63""",Orthodox,8-May-82,4.93,50%,7.19,53%,0.94,25%,50%,0.2
Kevin Aguilar,Angel of Death,17,5,0,"5' 7""",155 lbs.,"73""",Orthodox,7-Sep-88,3.96,40%,4.81,52%,0.16,16%,78%,0
Jesus Aguilar,,9,2,0,"5' 4""",125 lbs.,"62""",Orthodox,13-Mar-96,1.69,49%,1.03,63%,2.72,37%,0%,1.8
Christian Aguilera,The Beast,14,8,0,"5' 9""",170 lbs.,"72""",Switch,25-Nov-91,2.54,37%,4.04,48%,0,0%,60%,0
Nick Aguirre,Slick,7,2,0,"5' 9""",135 lbs.,"74""",Southpaw,15-Jan-96,0.73,33%,2.89,45%,1.16,20%,33%,0.6
Mike Aina,Iron,14,6,1 (1 NC),"5' 9""",155 lbs.,--,Orthodox,--,2.87,33%,6.33,59%,0,0%,71%,0
Ashiek Ajim,Peak Physique,6,2,0,"5' 8""",135 lbs.,"71""",Switch,19-Jun-94,5,40%,11.25,25%,0,0%,0%,0
Hitomi Akano,Girlfight Monster,18,10,0,"5' 4""",135 lbs.,--,Southpaw,27-Jul-74,0.59,45%,2.58,55%,0,0%,8%,0.5
Omari Akhmedov,Wolverine,21,6,1,"6' 0""",185 lbs.,"73""",Orthodox,12-Oct-87,2.97,34%,2.84,55%,2.58,45%,65%,0.2
Yoshihiro Akiyama,,14,6,0 (2 NC),"5' 10""",170 lbs.,"75""",Orthodox,29-Jul-75,3.1,41%,3.62,57%,2.29,67%,92%,1
Rostem Akman,,6,2,0,"5' 10""",170 lbs.,"72""",Switch,19-Dec-91,1.8,25%,3.97,57%,1,40%,87%,0
Razak Al-Hassan,,13,5,0,"6' 2""",205 lbs.,--,Orthodox,14-May-82,3.27,39%,3.14,60%,0.65,14%,57%,0
