name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Danny Abbadi,2,2,0,71.00,,39,"Orlando, United States",38%,59 of 155,,,3.29,0.00,58%,0.00,4.41,0.00,78%,08:58
Nariman Abbassov,0,1,0,,,29,Kazakhstan,20%,45 of 225,0%,,3.00,0.00,46%,0.00,5.67,0.00,67%,15:00
Tank Abbott,8,10,0,72.00,,,"Huntington Beach, United States",39%,12 of 31,,,2.41,0.00,38%,0.00,10.03,0.00,67%,01:40
Hamdy Abdelwahab,5,0,0,74.00,72.00,30,Egypt,53%,58 of 110,75%,3 of 4,3.87,3.00,59%,1.00,3.13,0.00,,15:00
Shamil Abdurakhimov,20,8,0,75.00,76.00,41,"Dagestan Republic, Russia",44%,251 of 567,23%,5 of 30,2.41,1.01,55%,0.29,3.02,0.14,45%,09:27
Daichi Abe,6,1,0,69.00,71.50,31,Japan,34%,171 of 508,50%,1 of 2,3.80,0.33,57%,0.33,4.49,0.00,,15:00
Papy Abedi,9,3,0,71.00,74.00,44,,55%,97 of 176,57%,,2.80,3.47,49%,0.00,3.15,1.30,50%,08:39
Klidson Abreu,15,4,0,74.00,74.00,30,"Manaus, Brazil",41%,96 of 236,20%,,2.05,0.64,56%,0.00,2.90,0.00,80%,11:43
Ricardo Abreu,5,1,0,71.00,73.00,39,"Dourados, Brazil",32%,80 of 252,43%,,3.79,2.13,68%,1.42,3.98,0.71,100%,10:33
John Adajar,0,1,0,,,31,,53%,18 of 34,,,3.90,0.00,44%,0.00,6.28,0.00,,04:37
Scott Adams,6,0,0,72.00,,,"San Luis Obispo, United States",53%,18 of 34,,,,,,,,,,
Juan Adams,5,3,0,77.00,80.00,31,"Houston, United States",56%,234 of 420,67%,2 of 3,7.09,0.91,35%,0.00,4.06,0.00,57%,06:36
Anthony Adams,8,2,0,73.00,76.50,35,"Philadelphia, United States",42%,95 of 227,0%,,3.17,0.00,44%,0.00,5.93,0.00,,15:00
Zarrukh Adashev,4,4,0,65.00,65.00,30,"Samarkand, Uzbekistan",40%,115 of 285,0%,,3.65,0.00,65%,0.00,3.04,0.48,100%,07:53
Israel Adesanya,24,3,0,76.00,80.00,34,"Lagos, Nigeria",48%,1148 of 2386,14%,,3.93,0.05,56%,0.67,3.11,0.15,78%,18:16
Sam Adkins,0,0,0,72.00,,58,United States,,,14%,,,,,,,,,
Nick Agallar,12,3,0,67.00,,44,"Racine, United States",12%,5 of 43,0%,,0.69,0.00,42%,0.00,4.56,0.00,,07:14
Mariya Agapova,10,4,0,66.00,68.50,26,Kazakhstan,56%,238 of 427,67%,2 of 3,4.67,0.59,52%,0.59,3.82,0.88,48%,08:30
Fabio Agu,0,0,0,,,35,,,,67%,2 of 3,,,,,,,,00:00
Marcello Aguiar,0,0,0,72.00,,,Brazil,,,67%,2 of 3,,,,,,,,
Jessica Aguilar,20,8,0,63.00,63.00,41,"Houston, United States",51%,314 of 620,25%,4 of 16,4.93,0.94,54%,0.00,7.19,0.24,50%,12:44
Kevin Aguilar,17,5,0,67.00,72.00,34,"Gladewater, United States",40%,370 of 924,17%,,3.96,0.16,52%,0.32,4.81,0.00,79%,13:20
Jesus Aguilar,9,2,0,64.00,62.50,27,"Ensenada, Mexico",49%,28 of 57,38%,,1.69,2.72,63%,0.91,1.03,1.81,,05:31
Christian Aguilera,14,8,0,69.00,72.00,31,"Whittier, United States",38%,27 of 72,0%,,2.54,0.00,49%,0.00,4.04,0.00,60%,03:33
Nick Aguirre,7,2,0,69.00,74.00,27,"Cicero, United States",34%,19 of 56,20%,,0.73,1.16,46%,0.00,2.89,0.58,33%,12:59
Ashiek Ajim,0,1,0,,,29,,40%,4 of 10,,,5.00,0.00,25%,0.00,11.25,0.00,,00:48
