name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
AJ Dobson,180,7,2,0,32,49,0.3,0.47,1.82,0.75,0.3,73,76,0,4.38,12.33333333,5.25,0.47,0.64
AJ Fletcher,The Ghost,10,3,0,26,49,0.31,0.49,1.54,0.35,0.9,70,67,3,3.36,9.716666667,4.61,0.46,0.33
Aalon Cruz,146,8,4,0,34,49,0.85,0.39,0,0,0,72,78,3,7.58,5.9,8.88,0.58,0
Aaron Jeffery,345,10,3,0,31,11,0,0.45,0,0,0,74,73,0,3.1,9.2,4.46,0.34,0.5
Aaron Phillips,The Dragon,12,5,0,34,49,0,0.53,0.86,0.5,0.6,69,71,1,1.51,13.11666667,3.66,0.43,0.44
Aaron Riley,574,30,14,1,43,49,0.15,0.34,1.18,0.34,0.1,68,69,1,3.45,10.13333333,3.78,0.61,0.6
Aaron Rosa,589,18,6,0,40,49,0,0.47,0.36,0.33,0.4,76,77,0,4.03,8.3,4.41,0.45,0.85
Aaron Simpson,ATrain,12,5,0,49,49,0.83,0.52,3.78,0.34,0.5,72,73,0,3.6,10.58333333,2.53,0.56,0.83
Abdul Razak Alhassan,566,12,6,0,38,3,1.78,0.48,0.89,0.38,0.2,70,73,0,3.37,6.5,3.99,0.55,0.5
AbdulKareem AlSelwady,Pride of Palestine,15,3,0,28,49,0,0.28,1,0.16,0,68,69,0,4.6,15,3.6,0.61,0
Abel Trujillo,Killa,15,8,0,40,49,0.44,0.41,2.18,0.45,0.4,68,70,0,2.65,9.383333333,2.31,0.59,0.4
Abu Azaitar,Captain Morocco,14,4,1,37,29,0,0.43,1,0.37,0,69,76,0,4.38,14.98333333,4.32,0.51,0.42
Abubakar Nurmagomedov,492,17,4,1,34,71,0,0.53,1.25,0.22,0,71,72,0,2.78,11.96666667,2.61,0.65,0.88
Abus Magomedov,452,25,6,1,33,71,0.61,0.42,0.61,0.5,0,74,78,0,3.73,8.216666667,5.36,0.54,1
Acacio Dos Santos,Pequeno,14,5,0,32,100,0,0.41,0,0,0,76,79,0,1.27,7.916666667,1.4,0.43,0.31
Achilles Estremadura,211,7,1,0,31,11,0,0.43,0,0,0,70,68,0,3.2,15,3.27,0.7,0
Adam Antolin,Captain Chaos,12,3,0,41,49,0,0.52,0,0,0,65,63,0,5.73,5.75,5,0.69,1
Adam Fugitt,240,9,4,0,35,49,0,0.54,3.43,0.33,0,73,77,1,4.3,7.283333333,5.13,0.48,0.5
Adam Wieczorek,Siwy,10,2,0,31,17,0,0.38,0.41,0.33,0.4,77,81,0,1.68,12.33333333,1.87,0.48,0.58
Adam Yandiev,Boroda,9,1,0,35,100,0,0.08,0,0,0,69,74,0,0.18,5.7,6.14,0.36,0.25
Adlan Amagov,Borz,14,2,1,37,71,1.3,0.47,5.84,0.56,0,74,76,0,3.29,6.35,0.82,0.78,1
Adrian Yanez,775,16,5,0,30,49,1.79,0.39,0,0,0,67,70,0,6.15,6.283333333,5.73,0.57,1
Adriano Martins,474,28,9,0,41,18,0.62,0.38,0.83,0.8,0.4,70,72,1,1.8,9.716666667,2.14,0.65,0.81
Ahmad Hassanzada,Lion of the Ring,10,2,0,27,100,0,0.34,2.5,0.22,0,73,75,0,2.59,11.98333333,4.42,0.4,0
Aiemann Zahabi,780,10,2,0,36,11,0.74,0.43,0.25,0.16,0,68,68,0,3.04,10.18333333,3.4,0.72,0.75
Ailin Perez,Fiona,9,2,0,29,50,0,0.55,4.89,0.5,0,65,66,3,2.96,13.3,1.18,0.57,0.75
Aisling Daly,Ais the Bash,16,6,0,36,51,0,0.52,2.15,0.41,0.9,62,64,0,2.92,11.63333333,1.4,0.55,0.33
Akbarh Arreola,El Caballero,23,11,1,41,47,0.72,0.45,1.07,1,0.4,70,71,1,2.32,10.46666667,4.01,0.56,0.33
Akihiro Gono,The Japanese Sensation,35,21,8,49,49,0.39,0.48,1.01,0.84,0.5,67,68,3,2.18,12.76666667,2.67,0.63,0.46
