,name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
0,AJ Dobson,180,7.0,2.0,0,32.0,69,0.3,0.47,1.82,0.75,0.3,73,76,0.0,4.38,12.333333333333334,5.25,0.47,0.64
1,AJ Fletcher,The Ghost,10.0,3.0,0,26.0,69,0.31,0.49,1.54,0.35,0.9,70,67,3.0,3.36,9.716666666666667,4.61,0.46,0.33
2,Aalon Cruz,146,8.0,4.0,0,34.0,69,0.85,0.39,0.0,0.0,0.0,72,78,3.0,7.58,5.9,8.88,0.58,0.0
4,Aaron Jeffery,345,10.0,3.0,0,31.0,67,0.0,0.45,0.0,0.0,0.0,74,73,0.0,3.1,9.2,4.46,0.34,0.5
5,Aaron Phillips,The Dragon,12.0,5.0,0,34.0,69,0.0,0.53,0.86,0.5,0.6,69,71,1.0,1.51,13.116666666666667,3.66,0.43,0.44
6,Aaron Riley,574,30.0,14.0,1,43.0,69,0.15,0.34,1.18,0.34,0.1,68,69,1.0,3.45,10.133333333333333,3.78,0.61,0.6
7,Aaron Rosa,589,18.0,6.0,0,40.0,69,0.0,0.47,0.36,0.33,0.4,76,77,0.0,4.03,8.3,4.41,0.45,0.85
8,Aaron Simpson,ATrain,12.0,5.0,0,49.0,69,0.83,0.52,3.78,0.34,0.5,72,73,0.0,3.6,10.583333333333334,2.53,0.56,0.83
11,Abdul Razak Alhassan,566,12.0,6.0,0,38.0,52,1.78,0.48,0.89,0.38,0.2,70,73,0.0,3.37,6.5,3.99,0.55,0.5
12,AbdulKareem AlSelwady,Pride of Palestine,15.0,3.0,0,28.0,69,0.0,0.28,1.0,0.16,0.0,68,69,0.0,4.6,15.0,3.6,0.61,0.0
14,Abel Trujillo,Killa,15.0,8.0,0,40.0,69,0.44,0.41,2.18,0.45,0.4,68,70,0.0,2.65,9.383333333333333,2.31,0.59,0.4
16,Abu Azaitar,Captain Morocco,14.0,4.0,1,37.0,53,0.0,0.43,1.0,0.37,0.0,69,76,0.0,4.38,14.983333333333333,4.32,0.51,0.42
17,Abubakar Nurmagomedov,492,17.0,4.0,1,34.0,0,0.0,0.53,1.25,0.22,0.0,71,72,0.0,2.78,11.966666666666667,2.61,0.65,0.88
18,Abus Magomedov,452,25.0,6.0,1,33.0,0,0.61,0.42,0.61,0.5,0.0,74,78,0.0,3.73,8.216666666666667,5.36,0.54,1.0
19,Acacio Dos Santos,Pequeno,14.0,5.0,0,32.0,99,0.0,0.41,0.0,0.0,0.0,76,79,0.0,1.27,7.916666666666667,1.4,0.43,0.31
20,Achilles Estremadura,211,7.0,1.0,0,31.0,67,0.0,0.43,0.0,0.0,0.0,70,68,0.0,3.2,15.0,3.27,0.7,0.0
21,Adam Antolin,Captain Chaos,12.0,3.0,0,41.0,69,0.0,0.52,0.0,0.0,0.0,65,63,0.0,5.73,5.75,5.0,0.69,1.0
23,Adam Fugitt,240,9.0,4.0,0,35.0,69,0.0,0.54,3.43,0.33,0.0,73,77,1.0,4.3,7.283333333333333,5.13,0.48,0.5
26,Adam Wieczorek,Siwy,10.0,2.0,0,31.0,50,0.0,0.38,0.41,0.33,0.4,77,81,0.0,1.68,12.333333333333334,1.87,0.48,0.58
27,Adam Yandiev,Boroda,9.0,1.0,0,35.0,99,0.0,0.08,0.0,0.0,0.0,69,74,0.0,0.18,5.7,6.14,0.36,0.25
28,Adlan Amagov,Borz,14.0,2.0,1,37.0,0,1.3,0.47,5.84,0.56,0.0,74,76,0.0,3.29,6.35,0.82,0.78,1.0
32,Adrian Yanez,775,16.0,5.0,0,30.0,69,1.79,0.39,0.0,0.0,0.0,67,70,0.0,6.15,6.283333333333333,5.73,0.57,1.0
33,Adriano Martins,474,28.0,9.0,0,41.0,51,0.62,0.38,0.83,0.8,0.4,70,72,1.0,1.8,9.716666666666667,2.14,0.65,0.81
35,Ahmad Hassanzada,Lion of the Ring,10.0,2.0,0,27.0,99,0.0,0.34,2.5,0.22,0.0,73,75,0.0,2.59,11.983333333333333,4.42,0.4,0.0
36,Aiemann Zahabi,780,10.0,2.0,0,36.0,67,0.74,0.43,0.25,0.16,0.0,68,68,0.0,3.04,10.183333333333334,3.4,0.72,0.75
37,Ailin Perez,Fiona,9.0,2.0,0,29.0,2,0.0,0.55,4.89,0.5,0.0,65,66,3.0,2.96,13.3,1.18,0.57,0.75
38,Aisling Daly,Ais the Bash,16.0,6.0,0,36.0,81,0.0,0.52,2.15,0.41,0.9,62,64,0.0,2.92,11.633333333333333,1.4,0.55,0.33
39,Akbarh Arreola,El Caballero,23.0,11.0,1,41.0,56,0.72,0.45,1.07,1.0,0.4,70,71,1.0,2.32,10.466666666666667,4.01,0.56,0.33
40,Akihiro Gono,The Japanese Sensation,35.0,21.0,8,49.0,69,0.39,0.48,1.01,0.84,0.5,67,68,3.0,2.18,12.766666666666667,2.67,0.63,0.46
41,Akira Corassani,137,12.0,6.0,0,41.0,69,0.0,0.45,0.7,0.28,0.0,68,68,0.0,3.25,7.116666666666666,4.91,0.5,0.86
42,Akitoshi Tamura,The Ironman,21.0,18.0,2,43.0,69,0.0,0.43,0.0,0.0,1.0,69,70,0.0,3.73,14.933333333333334,1.94,0.78,0.2
43,Al Iaquinta,Raging,14.0,7.0,1,36.0,69,0.55,0.4,0.63,0.18,0.2,70,70,0.0,4.06,12.7,4.53,0.61,0.74
44,Al Matavao,Sweetness,8.0,3.0,0,29.0,111,0.0,0.46,0.0,0.0,0.0,68,67,0.0,7.84,7.016666666666667,6.7,0.58,0.0
45,Alan Baudot,The Black Samourai,8.0,3.0,0,36.0,58,0.48,0.58,0.0,0.0,0.0,75,79,0.0,5.36,7.783333333333333,4.82,0.46,0.62
46,Alan Belcher,The Talent,18.0,8.0,0,39.0,69,0.33,0.41,0.44,0.26,0.9,74,75,0.0,2.7,9.183333333333334,3.1,0.59,0.55
47,Alan Jouban,Brahma,17.0,7.0,0,42.0,69,1.15,0.5,0.51,0.44,0.3,72,73,1.0,5.67,9.0,3.77,0.6,0.58
49,Alan Patrick,Nuguette,15.0,4.0,0,40.0,51,0.13,0.4,3.01,0.33,0.3,71,74,1.0,1.82,11.466666666666667,2.95,0.43,0.43
50,Alatengheili,The Mongolian Knight,16.0,9.0,2,32.0,85,0.17,0.33,1.82,0.4,0.0,65,66,0.0,2.88,12.966666666666667,5.03,0.58,0.72
52,Albert Duraev,194,16.0,5.0,0,35.0,0,0.0,0.4,1.97,0.29,0.6,71,75,0.0,2.99,10.65,3.01,0.59,0.66
