redCorner,blueCorner,winner,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance,redCorner_sig_str_landed_per_minute,blueCorner_sig_str_landed_per_minute,redCorner_fightTime,blueCorner_fightTime,redCorner_sig_str_absorbed_per_minute,blueCorner_sig_str_absorbed_per_minute,redCorner_sig_str_defense,blueCorner_sig_str_defense,redCorner_takedown_defense,blueCorner_takedown_defense
0,1,1,12.0,12.0,2.0,4.0,0.0,0.0,35.0,28.0,56.0,71.0,0.76,0.0,0.44,0.53,1.72,1.09,0.5,0.31,1.7,1.7,74.0,75.0,76.0,75.0,0.0,0.0,3.02,4.55,9.833333333333334,13.733333333333333,3.01,3.76,0.55,0.58,0.33,0.72
0,1,0,17.0,19.0,5.0,4.0,0.0,0.0,33.0,39.0,8.0,71.0,0.35,0.44,0.47,0.51,0.8,1.31,0.39,0.4,0.5,0.0,75.0,71.0,78.0,70.0,0.0,0.0,4.38,3.37,10.6,11.416666666666666,3.33,2.91,0.54,0.62,0.74,0.73
0,1,1,12.0,16.0,5.0,5.0,0.0,1.0,37.0,27.0,18.0,18.0,0.1,0.68,0.47,0.48,1.83,0.68,0.46,0.33,0.7,0.0,64.0,64.0,68.0,65.0,0.0,1.0,4.34,5.2,15.583333333333334,11.1,5.19,2.23,0.55,0.65,0.77,0.92
0,1,0,13.0,15.0,6.0,8.0,0.0,0.0,33.0,27.0,81.0,24.0,0.25,0.19,0.49,0.42,1.65,0.97,0.35,0.62,0.5,0.0,64.0,67.0,62.0,68.0,0.0,0.0,5.68,6.59,10.766666666666667,12.95,4.9,6.43,0.63,0.51,0.43,0.69
0,1,1,17.0,13.0,0.0,6.0,0.0,0.0,29.0,33.0,27.0,49.0,0.0,0.0,0.24,0.55,2.0,0.19,0.18,0.14,0.0,0.2,67.0,69.0,70.0,70.0,1.0,3.0,3.07,4.34,15.0,13.266666666666667,5.4,3.27,0.61,0.54,0.0,0.62
0,1,0,11.0,5.0,4.0,1.0,0.0,0.0,33.0,27.0,12.0,49.0,0.69,3.31,0.59,0.46,3.47,0.0,0.5,0.0,0.0,0.0,73.0,69.0,77.0,71.0,0.0,3.0,1.8,10.37,10.816666666666666,2.2666666666666666,1.71,11.69,0.42,0.44,0.66,1.0
0,1,0,10.0,8.0,1.0,1.0,0.0,1.0,28.0,33.0,7.0,49.0,0.92,0.0,0.47,0.5,0.0,0.45,0.0,0.1,0.9,0.9,70.0,68.0,73.0,68.0,0.0,3.0,2.39,4.96,5.433333333333334,11.083333333333334,1.84,4.54,0.55,0.56,0.73,1.0
0,1,0,9.0,11.0,4.0,8.0,0.0,2.0,30.0,30.0,18.0,72.0,0.15,0.0,0.5,0.4,0.15,0.91,0.25,0.3,0.7,1.4,66.0,67.0,69.0,66.0,0.0,0.0,4.65,2.81,12.916666666666666,9.45,4.0,4.56,0.47,0.44,0.76,0.62
0,1,1,8.0,10.0,1.0,4.0,0.0,0.0,28.0,28.0,49.0,49.0,0.0,0.0,0.73,0.42,7.34,3.0,1.0,0.48,2.5,0.0,73.0,75.0,74.0,77.0,1.0,0.0,3.59,3.12,6.133333333333334,15.0,2.45,4.25,0.4,0.52,1.0,0.66
0,1,1,28.0,21.0,6.0,2.0,0.0,0.0,32.0,30.0,49.0,48.0,0.28,0.75,0.41,0.5,0.85,3.0,0.64,0.51,0.2,0.8,73.0,73.0,76.0,76.0,0.0,3.0,5.91,6.49,15.2,11.45,4.33,4.77,0.62,0.55,0.77,0.4
0,1,0,16.0,10.0,9.0,3.0,0.0,1.0,35.0,32.0,49.0,18.0,0.0,0.0,0.52,0.57,0.9,0.68,0.27,0.38,0.7,1.6,67.0,66.0,67.0,66.0,0.0,0.0,4.14,3.84,14.766666666666667,10.016666666666667,3.29,4.86,0.6,0.53,0.63,0.68
0,1,0,29.0,10.0,12.0,2.0,0.0,1.0,36.0,32.0,49.0,49.0,0.07,0.68,0.46,0.46,2.17,3.04,0.4,0.6,0.3,1.0,75.0,73.0,80.0,73.0,0.0,0.0,3.47,3.83,12.733333333333333,7.4,2.42,3.33,0.52,0.52,0.54,0.16
0,1,1,19.0,18.0,3.0,0.0,0.0,0.0,30.0,29.0,81.0,71.0,0.28,0.0,0.4,0.48,1.02,4.75,0.5,0.46,0.4,0.2,68.0,67.0,70.0,72.0,1.0,0.0,3.39,4.43,13.5,15.0,2.91,2.89,0.61,0.61,0.75,0.71
0,1,1,15.0,10.0,3.0,3.0,0.0,0.0,32.0,27.0,11.0,49.0,0.0,0.55,0.49,0.53,1.5,0.0,0.27,0.0,0.0,0.0,66.0,66.0,64.0,70.0,0.0,0.0,4.71,6.22,15.0,9.166666666666666,4.98,3.93,0.48,0.58,0.52,0.64
0,1,1,15.0,11.0,7.0,1.0,1.0,1.0,28.0,31.0,11.0,49.0,0.55,0.45,0.48,0.46,0.09,0.76,0.1,0.62,0.6,0.5,69.0,74.0,69.0,78.0,3.0,0.0,5.56,5.4,12.516666666666667,12.383333333333333,4.31,4.0,0.57,0.58,0.48,0.84
0,1,1,10.0,10.0,2.0,2.0,0.0,0.0,27.0,30.0,59.0,49.0,0.86,1.67,0.35,0.45,0.0,0.0,0.0,0.0,0.0,0.0,71.0,68.0,72.0,70.0,3.0,1.0,5.16,4.63,8.716666666666667,5.966666666666667,4.19,5.41,0.56,0.65,0.0,1.0
0,1,0,13.0,13.0,8.0,7.0,0.0,0.0,28.0,31.0,11.0,18.0,0.0,0.21,0.46,0.4,2.53,0.82,0.43,0.33,1.0,1.9,65.0,65.0,63.0,67.0,0.0,0.0,2.61,2.99,9.65,7.283333333333333,3.12,2.65,0.56,0.53,0.43,0.38
0,1,1,9.0,11.0,3.0,2.0,0.0,1.0,31.0,27.0,11.0,81.0,0.94,0.0,0.41,0.38,0.94,1.19,0.28,1.0,0.5,3.6,73.0,75.0,76.0,78.0,0.0,0.0,2.22,2.54,6.383333333333334,4.2,3.38,3.41,0.58,0.49,0.72,0.33
0,1,0,10.0,12.0,3.0,6.0,0.0,0.0,34.0,35.0,11.0,18.0,0.14,0.31,0.45,0.44,2.16,0.15,0.37,0.33,0.4,0.0,67.0,67.0,68.0,65.0,0.0,0.0,3.95,3.76,14.9,9.75,4.03,7.03,0.51,0.43,0.8,0.65
0,1,1,14.0,17.0,8.0,7.0,0.0,0.0,33.0,33.0,11.0,49.0,0.0,0.0,0.45,0.5,1.72,1.79,0.35,0.26,1.0,5.4,67.0,67.0,71.0,68.0,3.0,0.0,2.5,1.7,6.216666666666667,6.683333333333334,2.0,5.2,0.43,0.4,0.26,0.0
0,1,0,19.0,21.0,1.0,8.0,1.0,0.0,31.0,31.0,71.0,18.0,0.71,0.61,0.53,0.53,1.02,0.46,0.31,1.0,0.0,0.9,75.0,78.0,75.0,82.0,0.0,0.0,3.64,3.81,11.35,7.033333333333333,2.25,2.83,0.59,0.44,0.86,0.57
0,1,1,20.0,14.0,5.0,2.0,0.0,0.0,31.0,30.0,49.0,49.0,0.36,0.17,0.43,0.48,5.49,2.25,0.46,0.44,0.4,1.0,66.0,69.0,69.0,69.0,0.0,3.0,3.01,5.69,12.816666666666666,8.666666666666666,3.61,3.99,0.61,0.53,0.76,0.66
0,1,1,12.0,11.0,6.0,1.0,0.0,0.0,35.0,31.0,49.0,18.0,0.7,3.75,0.59,0.5,2.11,1.25,0.34,0.16,0.2,0.0,72.0,70.0,77.0,72.0,0.0,0.0,5.33,5.0,6.4,3.0,3.72,4.17,0.55,0.48,0.9,0.66
0,1,1,11.0,11.0,7.0,4.0,0.0,0.0,31.0,28.0,49.0,49.0,1.27,0.0,0.43,0.55,1.02,4.3,0.57,0.43,0.4,3.1,73.0,71.0,75.0,71.0,3.0,0.0,3.78,3.83,11.816666666666666,12.2,4.21,3.18,0.54,0.51,0.45,0.8
0,1,0,9.0,7.0,1.0,4.0,0.0,0.0,33.0,31.0,49.0,66.0,2.52,0.0,0.51,0.43,0.84,0.0,0.33,0.0,0.8,0.0,68.0,67.0,69.0,69.0,0.0,0.0,5.43,3.88,5.95,11.75,2.52,3.49,0.71,0.49,1.0,0.5
0,1,0,12.0,19.0,0.0,4.0,0.0,0.0,26.0,31.0,30.0,87.0,0.0,0.37,0.58,0.46,3.96,0.37,0.41,0.4,0.6,0.4,68.0,66.0,71.0,73.0,0.0,1.0,4.47,3.91,12.316666666666666,13.566666666666666,2.44,2.37,0.57,0.61,0.83,0.77
0,1,1,16.0,12.0,9.0,2.0,0.0,0.0,35.0,27.0,49.0,18.0,0.0,0.78,0.34,0.52,0.0,1.56,0.0,0.5,4.2,0.0,73.0,67.0,73.0,69.0,1.0,0.0,2.11,5.83,3.55,9.6,6.62,4.27,0.28,0.57,0.0,1.0
0,1,0,10.0,13.0,1.0,7.0,0.0,0.0,22.0,34.0,116.0,18.0,0.38,0.0,0.53,0.54,1.14,3.15,0.42,0.33,0.0,0.0,65.0,67.0,65.0,69.0,0.0,0.0,9.08,5.25,13.166666666666666,9.516666666666667,5.77,8.72,0.6,0.41,0.78,0.0
0,1,0,22.0,17.0,3.0,4.0,0.0,0.0,32.0,35.0,8.0,49.0,0.26,0.05,0.53,0.38,1.25,3.79,0.34,0.44,0.4,0.2,74.0,71.0,74.0,72.0,1.0,0.0,2.75,3.88,16.916666666666668,17.083333333333332,2.34,2.98,0.54,0.55,0.7,0.67
0,1,0,27.0,15.0,5.0,7.0,0.0,0.0,33.0,31.0,18.0,49.0,0.35,0.64,0.49,0.43,2.2,0.43,0.48,0.66,1.0,1.5,65.0,69.0,67.0,68.0,0.0,1.0,4.32,3.8,12.166666666666666,8.783333333333333,3.9,3.05,0.5,0.45,0.67,0.4
0,1,0,18.0,17.0,0.0,7.0,0.0,1.0,29.0,40.0,16.0,49.0,0.3,0.51,0.61,0.46,1.49,0.26,0.29,0.41,1.8,0.0,73.0,72.0,77.0,75.0,0.0,0.0,4.12,4.11,8.366666666666667,14.616666666666667,2.41,3.03,0.51,0.54,1.0,0.65
0,1,1,26.0,21.0,10.0,3.0,0.0,0.0,39.0,29.0,49.0,81.0,0.17,0.65,0.45,0.52,0.39,0.98,0.35,0.25,0.9,1.6,71.0,70.0,76.0,73.0,0.0,0.0,4.94,5.13,11.65,9.2,4.41,3.7,0.55,0.41,0.67,0.56
0,1,0,15.0,17.0,7.0,6.0,0.0,0.0,35.0,29.0,47.0,18.0,0.24,0.22,0.4,0.56,0.16,1.22,0.5,0.45,0.2,0.0,69.0,65.0,68.0,67.0,0.0,0.0,5.24,6.34,14.633333333333333,15.0,6.33,4.78,0.57,0.49,0.76,0.68
0,1,0,14.0,24.0,5.0,15.0,0.0,0.0,32.0,37.0,49.0,49.0,1.21,0.35,0.4,0.41,1.1,1.74,0.34,0.41,0.0,0.7,68.0,66.0,65.0,66.0,0.0,3.0,3.06,3.39,9.75,8.1,3.91,4.64,0.6,0.54,0.8,0.6
0,1,1,9.0,17.0,2.0,8.0,0.0,0.0,26.0,30.0,81.0,18.0,0.0,0.38,0.54,0.4,1.77,0.64,0.38,0.55,0.7,0.4,66.0,66.0,69.0,67.0,0.0,0.0,8.41,4.27,11.283333333333331,10.716666666666669,6.3,4.23,0.56,0.52,0.66,0.79
0,1,0,15.0,16.0,2.0,5.0,0.0,1.0,32.0,32.0,71.0,49.0,0.27,0.17,0.45,0.51,3.71,4.84,0.46,0.5,2.1,0.3,67.0,67.0,70.0,67.0,1.0,1.0,3.22,3.16,11.316666666666666,9.983333333333333,3.3,2.89,0.51,0.51,0.61,0.66
0,1,0,23.0,14.0,10.0,3.0,0.0,0.0,33.0,33.0,49.0,18.0,0.4,0.83,0.37,0.47,2.19,0.0,0.47,0.0,0.3,0.0,71.0,71.0,74.0,71.0,0.0,0.0,3.86,5.05,10.783333333333331,9.066666666666666,4.11,5.32,0.51,0.45,0.69,0.4
0,1,1,13.0,12.0,2.0,0.0,0.0,0.0,32.0,33.0,117.0,71.0,0.53,1.75,0.52,0.51,0.26,0.0,0.25,0.0,0.3,1.8,76.0,76.0,77.0,78.0,0.0,0.0,5.17,6.19,9.45,4.283333333333333,5.7,0.93,0.54,0.6,1.0,1.0
0,1,0,21.0,20.0,7.0,6.0,1.0,2.0,26.0,32.0,25.0,49.0,0.63,0.47,0.42,0.58,0.63,0.28,0.58,0.3,0.2,0.1,68.0,69.0,67.0,67.0,0.0,0.0,4.38,4.8,12.783333333333331,13.183333333333334,3.73,2.79,0.57,0.63,0.73,0.69
0,1,1,37.0,14.0,19.0,5.0,0.0,0.0,35.0,33.0,49.0,49.0,0.43,1.66,0.48,0.39,0.49,0.0,0.26,0.0,0.6,0.1,76.0,73.0,76.0,76.0,0.0,1.0,3.21,3.84,9.95,7.833333333333333,4.47,4.18,0.46,0.5,0.48,0.58
0,1,1,20.0,10.0,8.0,2.0,0.0,0.0,33.0,30.0,25.0,87.0,0.84,0.0,0.46,0.55,0.34,1.51,0.5,0.66,0.0,0.8,72.0,74.0,71.0,75.0,0.0,0.0,4.36,8.23,9.9,15.0,6.38,5.1,0.5,0.53,0.61,1.0
0,1,0,9.0,13.0,0.0,9.0,0.0,0.0,28.0,34.0,7.0,34.0,1.03,0.0,0.44,0.39,1.54,0.0,0.27,0.0,2.6,0.0,67.0,66.0,66.0,66.0,0.0,3.0,4.15,5.96,7.3,4.9,3.43,7.39,0.59,0.55,1.0,1.0
0,1,0,15.0,20.0,5.0,7.0,0.0,0.0,31.0,27.0,49.0,18.0,2.62,0.0,0.56,0.46,1.31,2.49,0.44,0.27,0.7,0.5,72.0,70.0,75.0,71.0,1.0,1.0,4.85,4.29,5.733333333333333,10.033333333333331,2.4,2.99,0.46,0.59,0.88,0.42
0,1,0,7.0,8.0,1.0,5.0,0.0,0.0,23.0,35.0,18.0,55.0,0.0,0.0,0.55,0.46,1.61,2.48,0.5,0.42,0.0,0.6,66.0,66.0,67.0,68.0,0.0,0.0,6.21,2.2,9.35,7.783333333333333,3.64,2.48,0.64,0.52,0.66,0.5
