IP,Port,Proxy
115.127.83.142,1234,115.127.83.142:1234
35.212.225.200,3128,35.212.225.200:3128
86.234.194.117,80,86.234.194.117:80
104.236.195.60,10004,104.236.195.60:10004
129.150.39.9,80,129.150.39.9:80
47.74.152.29,8888,47.74.152.29:8888
195.223.43.252,8080,195.223.43.252:8080
159.65.180.117,10005,159.65.180.117:10005
213.156.99.144,3128,213.156.99.144:3128
35.212.203.150,3128,35.212.203.150:3128
138.197.20.244,10005,138.197.20.244:10005
118.69.134.0,80,118.69.134.0:80
183.100.14.134,8000,183.100.14.134:8000
68.183.144.115,10012,68.183.144.115:10012
117.160.250.138,8899,117.160.250.138:8899
51.124.209.11,80,51.124.209.11:80
5.56.124.176,6734,5.56.124.176:6734
115.23.1.33,7339,115.23.1.33:7339
120.77.148.138,8080,120.77.148.138:8080
58.20.248.139,9002,58.20.248.139:9002
159.65.77.168,8585,159.65.77.168:8585
122.9.4.213,80,122.9.4.213:80
72.10.164.178,17383,72.10.164.178:17383
218.65.6.150,3128,218.65.6.150:3128
39.107.33.254,8090,39.107.33.254:8090
67.43.227.227,27297,67.43.227.227:27297
193.136.97.17,80,193.136.97.17:80
38.51.235.213,999,38.51.235.213:999
125.136.132.166,8228,125.136.132.166:8228
78.189.150.54,1453,78.189.150.54:1453
20.157.194.61,80,20.157.194.61:80
49.0.246.130,80,49.0.246.130:80
103.179.252.2,8181,103.179.252.2:8181
83.243.92.154,8080,83.243.92.154:8080
27.109.202.74,80,27.109.202.74:80
49.0.246.130,4145,49.0.246.130:4145
144.22.176.41,8080,144.22.176.41:8080
8.217.118.156,80,8.217.118.156:80
38.7.4.81,999,38.7.4.81:999
168.196.246.118,8080,168.196.246.118:8080
202.10.36.9,3128,202.10.36.9:3128
59.3.82.108,8228,59.3.82.108:8228
183.234.85.26,9002,183.234.85.26:9002
59.6.26.121,80,59.6.26.121:80
113.208.119.142,9002,113.208.119.142:9002
95.66.138.21,8880,95.66.138.21:8880
159.203.61.169,3128,159.203.61.169:3128
67.43.227.227,25901,67.43.227.227:25901
138.68.60.8,8080,138.68.60.8:8080
178.128.200.87,80,178.128.200.87:80
35.212.135.249,3128,35.212.135.249:3128
68.183.143.134,80,68.183.143.134:80
49.0.246.130,7777,49.0.246.130:7777
170.64.134.69,3128,170.64.134.69:3128
139.162.201.80,3128,139.162.201.80:3128
177.12.118.160,80,177.12.118.160:80
12.186.205.121,80,12.186.205.121:80
58.20.20.80,2323,58.20.20.80:2323
47.106.107.212,3128,47.106.107.212:3128
223.194.33.36,3128,223.194.33.36:3128
62.217.125.128,9151,62.217.125.128:9151
67.43.228.251,17753,67.43.228.251:17753
8.209.114.72,3129,8.209.114.72:3129
92.44.200.179,3310,92.44.200.179:3310
35.212.193.138,3128,35.212.193.138:3128
195.175.29.38,9090,195.175.29.38:9090
49.0.246.130,6789,49.0.246.130:6789
176.98.234.124,8080,176.98.234.124:8080
139.99.197.2,3128,139.99.197.2:3128
67.43.227.227,19635,67.43.227.227:19635
72.10.160.90,11923,72.10.160.90:11923
117.160.250.138,80,117.160.250.138:80
37.44.247.217,3128,37.44.247.217:3128
103.154.230.103,5678,103.154.230.103:5678
38.156.74.101,8080,38.156.74.101:8080
111.20.217.178,9091,111.20.217.178:9091
130.185.104.62,4128,130.185.104.62:4128
93.157.248.108,88,93.157.248.108:88
72.10.164.178,31629,72.10.164.178:31629
45.236.44.94,8080,45.236.44.94:8080
113.78.190.20,1111,113.78.190.20:1111
138.197.92.54,10003,138.197.92.54:10003
192.25.14.12,4128,192.25.14.12:4128
60.12.168.114,9002,60.12.168.114:9002
64.225.8.203,10006,64.225.8.203:10006
208.193.6.170,3131,208.193.6.170:3131
67.43.236.20,12673,67.43.236.20:12673
67.43.236.20,18589,67.43.236.20:18589
103.159.47.9,83,103.159.47.9:83
203.74.125.18,8888,203.74.125.18:8888
103.179.246.30,8080,103.179.246.30:8080
35.212.130.98,3128,35.212.130.98:3128
221.165.95.174,8228,221.165.95.174:8228
43.156.0.125,8888,43.156.0.125:8888
67.43.236.20,18855,67.43.236.20:18855
1.179.144.41,8080,1.179.144.41:8080
182.253.112.189,3128,182.253.112.189:3128
103.184.123.19,3128,103.184.123.19:3128
177.234.211.63,999,177.234.211.63:999
159.203.61.169,8080,159.203.61.169:8080
67.43.236.20,8505,67.43.236.20:8505
188.166.56.246,80,188.166.56.246:80
194.67.119.190,80,194.67.119.190:80
142.93.72.28,10000,142.93.72.28:10000
120.197.40.219,9002,120.197.40.219:9002
220.248.70.237,9002,220.248.70.237:9002
192.25.14.14,4128,192.25.14.14:4128
1.94.30.47,3128,1.94.30.47:3128
166.109.239.42,8080,166.109.239.42:8080
103.159.90.14,83,103.159.90.14:83
85.132.29.134,8080,85.132.29.134:8080
45.64.10.25,8080,45.64.10.25:8080
139.59.1.14,3128,139.59.1.14:3128
202.61.204.51,80,202.61.204.51:80
139.9.119.20,80,139.9.119.20:80
59.16.174.164,8228,59.16.174.164:8228
59.17.87.149,8228,59.17.87.149:8228
103.126.87.26,80,103.126.87.26:80
122.114.232.137,808,122.114.232.137:808
60.212.99.36,8989,60.212.99.36:8989
138.68.60.8,3128,138.68.60.8:3128
104.45.128.122,80,104.45.128.122:80
195.201.230.161,3128,195.201.230.161:3128
102.132.201.202,80,102.132.201.202:80
103.165.138.236,8080,103.165.138.236:8080
59.110.139.131,3128,59.110.139.131:3128
51.15.242.202,8888,51.15.242.202:8888
221.194.149.8,80,221.194.149.8:80
117.160.250.133,80,117.160.250.133:80
51.159.196.85,3128,51.159.196.85:3128
189.203.139.247,8080,189.203.139.247:8080
131.196.212.172,80,131.196.212.172:80
112.111.1.217,4430,112.111.1.217:4430
220.80.190.171,8228,220.80.190.171:8228
42.112.24.127,8888,42.112.24.127:8888
159.65.186.46,10013,159.65.186.46:10013
119.28.117.127,31280,119.28.117.127:31280
106.14.255.124,80,106.14.255.124:80
185.203.238.77,8080,185.203.238.77:8080
36.89.156.150,8080,36.89.156.150:8080
179.1.192.11,999,179.1.192.11:999
120.82.174.128,9091,120.82.174.128:9091
61.129.2.212,8080,61.129.2.212:8080
113.223.213.220,8089,113.223.213.220:8089
192.9.190.151,3128,192.9.190.151:3128
120.226.160.4,3128,120.226.160.4:3128
172.173.132.85,80,172.173.132.85:80
138.197.102.119,80,138.197.102.119:80
64.225.4.17,10005,64.225.4.17:10005
139.59.55.213,80,139.59.55.213:80
91.185.84.228,3128,91.185.84.228:3128
64.225.4.17,10008,64.225.4.17:10008
222.102.0.119,7339,222.102.0.119:7339
157.97.111.96,80,157.97.111.96:80
39.104.57.170,5000,39.104.57.170:5000
202.83.102.83,8080,202.83.102.83:8080
81.70.187.80,8080,81.70.187.80:8080
43.133.136.208,8800,43.133.136.208:8800
120.234.203.171,9002,120.234.203.171:9002
35.212.139.165,3128,35.212.139.165:3128
119.200.184.25,8228,119.200.184.25:8228
113.160.182.236,19132,113.160.182.236:19132
177.53.214.4,999,177.53.214.4:999
8.209.255.13,3128,8.209.255.13:3128
36.89.156.148,8080,36.89.156.148:8080
167.172.96.213,80,167.172.96.213:80
43.157.10.238,8888,43.157.10.238:8888
222.175.59.6,9002,222.175.59.6:9002
79.137.181.6,3128,79.137.181.6:3128
58.20.77.181,2323,58.20.77.181:2323
59.26.254.243,8197,59.26.254.243:8197
117.160.250.133,8899,117.160.250.133:8899
35.212.181.186,3128,35.212.181.186:3128
117.160.250.132,8899,117.160.250.132:8899
188.166.17.18,8881,188.166.17.18:8881
163.228.160.18,3128,163.228.160.18:3128
67.43.228.251,3797,67.43.228.251:3797
121.160.185.164,3128,121.160.185.164:3128
39.105.65.104,8888,39.105.65.104:8888
139.159.176.147,8090,139.159.176.147:8090
20.42.119.47,80,20.42.119.47:80
176.99.2.43,1081,176.99.2.43:1081
221.144.10.17,8228,221.144.10.17:8228
202.180.20.11,55443,202.180.20.11:55443
118.47.167.69,8228,118.47.167.69:8228
34.135.166.24,80,34.135.166.24:80
120.197.160.2,9002,120.197.160.2:9002
194.163.177.66,3128,194.163.177.66:3128
61.158.175.38,9002,61.158.175.38:9002
124.202.159.99,3128,124.202.159.99:3128
223.241.77.61,8089,223.241.77.61:8089
46.101.186.238,80,46.101.186.238:80
165.227.120.250,10003,165.227.120.250:10003
123.60.155.197,80,123.60.155.197:80
82.65.126.192,88,82.65.126.192:88
58.234.116.197,8197,58.234.116.197:8197
60.210.40.190,9091,60.210.40.190:9091
35.212.199.24,3128,35.212.199.24:3128
36.93.174.103,3001,36.93.174.103:3001
35.212.229.145,3128,35.212.229.145:3128
132.145.252.27,8888,132.145.252.27:8888
