,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
0,AJ Cunningham,The Savage,11.0,4.0,0,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 07, 1994",7.66,29%,11.9,48%,0.0,0%,33%,0.0,11.0,4.0,0.0,70.0,71.0,29.0,"Phoenix, United States",29%,105 of 360,0%,,7.66,0.0,49%,0.0,11.9,0.0,33%,06:51,both
1,AJ Dobson,180,7.0,3.0,0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",4.29,46%,5.31,46%,1.67,75%,65%,0.3,7.0,3.0,0.0,73.0,76.0,31.0,"Brooklyn, United States",46%,231 of 500,75%,,4.29,1.67,46%,0.28,5.31,0.28,65%,10:47,both
2,AJ Fletcher,The Ghost,10.0,3.0,0,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997",3.36,49%,4.61,46%,1.54,35%,33%,0.9,10.0,3.0,0.0,70.0,67.0,26.0,"Baton Rouge, United States",50%,163 of 329,36%,4 of 14,3.36,1.54,47%,0.31,4.61,0.93,33%,09:43,both
7,Aalon Cruz,146,8.0,4.0,0,"6' 0""",145 lbs.,"78""",Switch,"Sep 20, 1989",7.58,39%,8.88,58%,0.0,0%,0%,0.0,8.0,4.0,0.0,72.0,78.0,33.0,"Parrish, United States",39%,134 of 343,0%,,7.58,0.0,59%,0.85,8.88,0.0,,05:54,both
8,Aaron Brink,94,26.0,26.0,0 (2 NC),"6' 3""",205 lbs.,--,Orthodox,"Nov 12, 1974",3.49,42%,5.71,57%,0.0,0%,0%,0.0,8.0,3.0,0.0,75.0,,48.0,United States,0%,0 of 5,0%,,0.0,0.0,57%,0.0,19.64,0.0,,00:55,both
10,Aaron Jeffery,347,10.0,3.0,0,"6' 2""",185 lbs.,"73""",Orthodox,"Nov 14, 1992",3.1,45%,4.46,34%,0.0,0%,50%,0.0,6.0,2.0,0.0,74.0,73.5,30.0,"Tillsonburg, Canada",46%,57 of 125,0%,,3.1,0.0,34%,0.0,4.46,0.0,50%,09:12,both
14,Aaron Phillips,The Dragon,12.0,5.0,0,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 05, 1989",1.51,53%,3.66,43%,0.86,50%,44%,0.6,12.0,5.0,0.0,69.0,71.0,33.0,"Houston, United States",53%,79 of 148,50%,,1.51,0.86,44%,0.0,3.66,0.57,44%,13:07,both
15,Aaron Riley,638,30.0,14.0,1,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980",3.45,34%,3.78,61%,1.18,34%,60%,0.1,29.0,14.0,1.0,68.0,,41.0,United States,35%,350 of 1014,35%,,3.45,1.18,61%,0.15,3.78,0.15,61%,10:08,both
16,Aaron Rosa,653,18.0,6.0,0,"6' 4""",205 lbs.,"77""",Orthodox,"May 28, 1983",4.03,47%,4.41,45%,0.36,33%,85%,0.4,17.0,5.0,0.0,76.0,,40.0,United States,47%,167 of 355,33%,,4.03,0.36,45%,0.0,4.41,0.36,86%,08:18,both
17,Aaron Simpson,ATrain,12.0,5.0,0,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",3.6,52%,2.53,56%,3.78,34%,83%,0.5,11.0,4.0,0.0,72.0,,48.0,United States,53%,457 of 867,35%,,3.6,3.78,56%,0.83,2.53,0.47,83%,10:35,both
