fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Edson Barboza vs. Lerone Murphy,Lerone Murphy,Edson Barboza,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Main Event,13,24,0,11,1,0,32,38,,England,Brazil,,
Khaos Williams vs. Carlston Harris,Khaos Williams,Carlston Harris,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Co-Main Event,14,19,3,5,0,0,30,36,,United States,Guyana,,
Ramiz Brahimaj vs. Themba Gorimbo,Themba Gorimbo,Ramiz Brahimaj,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Main Card,12,10,4,4,0,0,33,31,,Zimbabwe,United States,,
Adrian Yanez vs. Vinicius Salvador,Adrian Yanez,Vinicius Salvador,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Main Card,16,14,5,6,0,0,30,27,,United States,Brazil,,
Angela Hill vs. Luana Pinheiro,Angela Hill,Luana Pinheiro,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Main Card,16,11,13,2,0,0,39,30,,United States,Brazil,,
Tom Nolan vs. Victor Martinez,Tom Nolan,Victor Martinez,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,6,13,1,5,0,0,24,32,,Australia,United States,,
Oumar Sy vs. Tuco Tokkos,Oumar Sy,Tuco Tokkos,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,9,10,0,3,0,0,28,33,,France,United Kingdom,,
Tamires Vidal vs. Melissa Gatto,Melissa Gatto,Tamires Vidal,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,8,7,2,2,2,0,28,25,,Brazil,Brazil,,
Abus Magomedov vs. Warlley Alves,Abus Magomedov,Warlley Alves,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,25,14,6,7,1,0,33,33,,Germany,Brazil,,
Piera Rodriguez vs. Ariane Carnelossi,Ariane Carnelossi,Piera Rodriguez,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,14,9,3,1,0,0,31,31,,Brazil,Venezuela,,
Alatengheili vs. Kleydson Rodrigues,Alatengheili,Kleydson Rodrigues,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,16,8,9,3,2,0,32,28,,China,Brazil,,
Emily Ducote vs. Vanessa Demopoulos,Vanessa Demopoulos,Emily Ducote,UFC Fight Night: Barboza vs. Murphy,05.18.2024,UFC Apex,no,Preliminary Card,10,13,5,8,0,0,35,30,,Greece,United States,,
