redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Derrick Lewis,Rodrigo Nascimento,Derrick Lewis,UFC Fight Night: Lewis vs. Nascimento,Jason Herzog,KO/TKO,1,0,41 of 75,27 of 41,54%,65%,47 of 81,72 of 92,1 of 4,1 of 1,25%,100%,0,0,3,0:49,"6' 3""","6' 2""","79""","80""",Orthodox,Orthodox
Joaquin Buckley,Nursulton Ruziboev,Joaquin Buckley,UFC Fight Night: Lewis vs. Nascimento,Keith Peterson,Decision - Unanimous,1,0,86 of 156,31 of 72,55%,43%,113 of 187,43 of 87,4 of 4,0 of 0,100%,---,0,0,3,5:00,"5' 10""","6' 5""","76""","76""",Southpaw,Orthodox
Alonzo Menifield,Carlos Ulberg,Carlos Ulberg,UFC Fight Night: Lewis vs. Nascimento,Nick Berens,KO/TKO,0,1,1 of 4,7 of 11,25%,63%,1 of 4,7 of 11,0 of 0,0 of 0,---,---,0,0,1,0:12,"6' 0""","6' 4""","76""","77""",Orthodox,Orthodox
Diego Ferreira,Mateusz Rebecki,Diego Ferreira,UFC Fight Night: Lewis vs. Nascimento,Gary Copeland,KO/TKO,0,1,123 of 241,52 of 137,51%,37%,151 of 272,60 of 146,3 of 3,4 of 5,100%,80%,0,0,3,4:51,"5' 9""","5' 7""","74""","66""",Orthodox,Southpaw
Alex Caceres,Sean Woodson,Sean Woodson,UFC Fight Night: Lewis vs. Nascimento,Jason Herzog,Decision - Unanimous,0,0,82 of 197,101 of 226,41%,44%,85 of 200,101 of 226,0 of 0,0 of 0,---,---,0,0,3,5:00,"5' 10""","6' 2""","73""","78""",Southpaw,Orthodox
Waldo Cortes-Acosta,Robelis Despaigne,Waldo Cortes-Acosta,UFC Fight Night: Lewis vs. Nascimento,Josh Stewart,Decision - Unanimous,0,0,52 of 101,26 of 52,51%,50%,130 of 204,28 of 59,3 of 4,0 of 0,75%,---,1,0,3,5:00,"6' 4""","6' 7""","78""","84""",Orthodox,Orthodox
Chase Hooper,Viacheslav Borshchev,Chase Hooper,UFC Fight Night: Lewis vs. Nascimento,Keith Peterson,Submission,1,0,62 of 109,2 of 6,56%,33%,129 of 217,2 of 6,1 of 1,0 of 0,100%,---,2,0,2,3:00,"6' 1""","5' 11""","74""","69""",Southpaw,Orthodox
Terrance McKinney,Esteban Ribovics,Esteban Ribovics,UFC Fight Night: Lewis vs. Nascimento,Gary Copeland,KO/TKO,0,1,5 of 18,5 of 12,27%,41%,5 of 18,5 of 12,0 of 0,0 of 0,---,---,0,0,1,0:37,"5' 10""","5' 10""","73""","69""",Switch,Orthodox
Tabatha Ricci,Tecia Pennington,Tabatha Ricci,UFC Fight Night: Lewis vs. Nascimento,Nick Berens,Decision - Split,0,0,54 of 143,80 of 219,37%,36%,94 of 186,92 of 231,1 of 10,0 of 2,10%,0%,0,0,3,5:00,"5' 1""","5' 1""","61""","60""",Orthodox,Orthodox
Billy Ray Goff,Trey Waters,Trey Waters,UFC Fight Night: Lewis vs. Nascimento,Josh Stewart,Decision - Unanimous,0,0,116 of 249,96 of 225,46%,42%,129 of 265,107 of 236,1 of 12,0 of 1,8%,0%,0,1,3,5:00,"5' 10""","6' 5""","72""","77""",Switch,Orthodox
Charles Johnson,Jake Hadley,Charles Johnson,UFC Fight Night: Lewis vs. Nascimento,Gary Copeland,Decision - Unanimous,1,0,70 of 168,48 of 128,41%,37%,88 of 188,50 of 130,0 of 0,0 of 11,---,0%,0,0,3,5:00,"5' 9""","5' 7""","70""","70""",Switch,Southpaw
JJ Aldrich,Veronica Hardy,Veronica Hardy,UFC Fight Night: Lewis vs. Nascimento,Josh Stewart,Decision - Unanimous,0,0,27 of 63,36 of 78,42%,46%,38 of 76,69 of 113,0 of 2,0 of 0,0%,---,0,0,3,5:00,"5' 5""","5' 4""","67""","64""",Southpaw,Southpaw
