name,nickname,wins,losses,draws,age,nation,knockdown_avg,sig_str_accuracy,takedown_average,takedown_accuracy,subs_attempted_average,height,reach,stance,sig_str_landed_per_min,average_fight_time,sig_str_absorbed_per_min,sig_str_defense,takedown_defense
Hamdy Abdelwahab,The Hammer,5.0,0.0,0,31.0,104,1.0,0.52,3.0,0.75,0.0,74,72,1.0,3.87,15.0,3.13,0.59,0.0
Mansur AbdulMalik,1,6.0,0.0,0,27.0,8,0.0,0.53,0.0,0.0,0.0,74,79,0.0,5.38,8.916666666666666,5.16,0.54,0.75
Shamil Abdurakhimov,Abrek,20.0,8.0,0,43.0,32,0.29,0.44,1.01,0.23,0.1,75,76,0.0,2.41,9.45,3.02,0.55,0.45
Daichi Abe,2,6.0,2.0,0,32.0,11,0.33,0.33,0.33,0.5,0.0,71,71,0.0,3.8,15.0,4.49,0.56,0.0
Klidson Abreu,White Bear,15.0,4.0,0,31.0,23,0.0,0.4,0.64,0.2,0.0,72,74,0.0,2.05,11.716666666666667,2.9,0.55,0.8
John Adajar,The Outlaw,6.0,2.0,0,33.0,97,0.0,0.52,0.0,0.0,0.0,69,75,0.0,3.9,4.616666666666667,6.28,0.44,0.0
Juan Adams,The Kraken,5.0,3.0,0,32.0,8,0.0,0.55,0.91,0.66,0.0,77,80,0.0,7.09,6.6,4.06,0.34,0.57
Anthony Adams,Sugafoot,8.0,2.0,0,36.0,8,0.0,0.41,0.0,0.0,0.0,73,76,0.0,3.17,15.0,5.93,0.44,0.0
Zarrukh Adashev,The Lion,4.0,4.0,0,32.0,36,0.0,0.4,0.0,0.0,0.5,65,65,1.0,3.65,7.883333333333333,3.04,0.64,1.0
Israel Adesanya,The Last Stylebender,24.0,4.0,0,35.0,87,0.63,0.48,0.05,0.12,0.1,76,80,3.0,4.0,18.3,3.21,0.56,0.75
Mariya Agapova,Money Mashka,10.0,5.0,0,27.0,42,0.55,0.54,0.55,0.66,0.8,66,68,1.0,4.43,7.783333333333333,3.62,0.52,0.45
Jessica Aguilar,Jag,20.0,8.0,0,42.0,8,0.0,0.5,0.94,0.25,0.2,63,63,0.0,4.93,12.733333333333333,7.19,0.53,0.5
Kevin Aguilar,Angel of Death,17.0,5.0,0,36.0,8,0.32,0.4,0.16,0.16,0.0,67,73,0.0,3.96,13.333333333333334,4.81,0.52,0.78
Jesus Aguilar,5,11.0,2.0,0,28.0,65,0.44,0.51,1.75,0.33,1.8,64,62,0.0,1.46,6.833333333333333,1.26,0.58,0.36
Christian Aguilera,The Beast,14.0,8.0,0,32.0,8,0.0,0.37,0.0,0.0,0.0,69,72,3.0,2.54,3.55,4.04,0.48,0.6
Nick Aguirre,Slick,7.0,2.0,0,28.0,8,0.0,0.33,1.16,0.2,0.6,69,74,1.0,0.73,12.983333333333333,2.89,0.45,0.33
Ashiek Ajim,Peak Physique,6.0,2.0,0,30.0,97,0.0,0.4,0.0,0.0,0.0,68,71,3.0,5.0,0.8,11.25,0.25,0.0
Omari Akhmedov,Wolverine,21.0,6.0,1,37.0,32,0.17,0.34,2.58,0.45,0.2,72,73,0.0,2.97,12.016666666666667,2.84,0.55,0.65
Yoshihiro Akiyama,Sexyama,14.0,6.0,0,49.0,11,0.4,0.41,2.29,0.67,1.0,70,75,0.0,3.1,6.833333333333333,3.62,0.57,0.92
Rostem Akman,6,6.0,2.0,0,32.0,77,0.0,0.25,1.0,0.4,0.0,70,72,3.0,1.8,15.0,3.97,0.57,0.87
Herdem Alacabek,7,5.0,1.0,0,33.0,97,0.0,0.65,2.06,0.5,0.0,74,75,0.0,3.84,14.566666666666666,6.66,0.23,0.42
Alatengheili,The Mongolian Knight,17.0,9.0,2,32.0,59,0.14,0.32,1.99,0.45,0.0,65,66,0.0,2.64,13.216666666666667,4.67,0.57,0.75
John Albert,Prince,6.0,5.0,0,38.0,8,0.68,0.49,0.0,0.0,6.1,68,68,0.0,3.05,4.4,2.82,0.35,0.5
Junior Albini,Baby,14.0,6.0,0,33.0,23,0.51,0.51,1.54,0.37,0.0,75,74,0.0,3.98,5.833333333333333,6.08,0.52,1.0
Iuri Alcantara,Marajo,35.0,10.0,0,44.0,23,0.42,0.45,1.44,0.62,0.8,69,71,1.0,2.72,9.35,2.79,0.49,0.6
Ildemar Alcantara,Marajo,21.0,11.0,0,41.0,81,0.0,0.38,2.0,0.68,0.9,74,78,0.0,1.93,13.95,2.63,0.5,0.81
Irene Aldana,10,15.0,8.0,0,36.0,65,0.22,0.39,0.15,0.5,0.2,69,68,0.0,5.19,14.65,6.64,0.56,0.77
Hector Aldana,El Charro,4.0,3.0,0,36.0,65,0.0,0.38,0.93,1.0,0.0,71,72,0.0,3.59,10.766666666666667,5.08,0.59,0.0
Jose Alday,Pochito,14.0,6.0,1,33.0,65,0.0,0.44,0.0,0.0,0.0,67,68,0.0,3.13,15.0,3.13,0.58,0.57
Jose Aldo,11,32.0,9.0,0,38.0,23,0.39,0.46,0.49,0.53,0.1,67,70,0.0,3.62,14.25,3.72,0.6,0.92
JJ Aldrich,12,13.0,7.0,0,32.0,8,0.0,0.46,0.66,0.23,0.0,65,67,1.0,3.88,13.7,4.38,0.6,0.66
Irina Alekseeva,Russian Ronda,5.0,2.0,0,34.0,42,0.87,0.43,0.87,0.2,0.9,68,67,0.0,3.84,8.6,3.55,0.48,1.0
Talita Alencar,Problem Child,5.0,1.0,1,34.0,23,0.0,0.28,2.0,0.13,0.0,61,58,0.0,2.49,15.0,4.8,0.52,0.5
Jim Alers,The Beast,13.0,3.0,0,38.0,8,0.32,0.4,2.26,0.41,0.3,69,71,0.0,2.9,11.633333333333333,4.38,0.56,0.8
John Alessio,The Natural,35.0,17.0,0,45.0,8,0.12,0.39,1.85,0.38,1.2,70,72,0.0,2.1,9.983333333333333,2.91,0.54,0.7
Houston Alexander,The Assassin,17.0,15.0,1,52.0,8,1.78,0.54,1.19,0.57,0.0,72,72,0.0,3.06,4.216666666666667,3.2,0.52,0.33
Lucas Alexander,The Lion,8.0,4.0,0,29.0,23,0.81,0.55,0.0,0.0,0.0,71,73,0.0,5.23,6.183333333333334,1.83,0.71,0.57
Bill Algeo,Senor Perfecto,18.0,9.0,0,35.0,8,0.23,0.51,1.03,0.5,0.1,72,73,3.0,5.88,11.916666666666666,4.38,0.47,0.55
Sultan Aliev,16,15.0,3.0,0,40.0,32,0.0,0.45,1.76,0.38,0.0,71,74,0.0,1.41,10.683333333333334,2.2,0.56,1.0
Nurullo Aliev,Tajik Eagle,9.0,0.0,0,23.0,112,0.0,0.51,3.06,0.44,0.0,70,72,0.0,2.5,9.8,0.46,0.59,0.0
Ikram Aliskerov,17,15.0,2.0,0,31.0,32,3.64,0.6,1.82,0.33,1.8,72,76,1.0,7.03,2.066666666666667,7.27,0.36,0.0
Leon Aliu,The Albanian Lion,10.0,2.0,0,35.0,97,0.0,0.5,0.0,0.0,0.0,72,74,0.0,6.32,1.5833333333333335,10.11,0.38,0.0
John Allan,18,13.0,7.0,0,31.0,23,0.0,0.42,1.4,0.71,0.8,73,75,0.0,3.56,13.416666666666666,5.74,0.52,0.5
Arnold Allen,Almighty,20.0,3.0,0,30.0,4,0.25,0.41,0.93,0.47,0.3,68,70,1.0,3.45,13.616666666666667,2.88,0.61,0.75
Brendan Allen,All In,24.0,6.0,0,28.0,8,0.37,0.53,1.67,0.39,1.3,74,75,0.0,3.79,10.083333333333334,3.83,0.46,0.58
Asu Almabayev,Zulfikar,20.0,2.0,0,30.0,42,0.0,0.61,6.68,0.56,2.4,64,65,0.0,2.36,12.733333333333333,1.0,0.58,0.0
Bekzat Almakhan,The Turan Warrior,11.0,2.0,0,27.0,42,1.0,0.18,0.0,0.0,0.0,67,68,0.0,0.2,15.0,4.53,0.3,0.0
Ricardo Almeida,Big Dog,13.0,5.0,0,47.0,8,0.0,0.49,3.74,0.38,1.2,72,74,0.0,2.02,11.416666666666666,1.2,0.61,0.31
Thomas Almeida,Thominhas,22.0,5.0,0,33.0,23,0.5,0.43,0.17,0.14,0.0,67,70,1.0,4.84,9.0,4.93,0.61,0.75
