fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Michel Pereira vs. Anthony Hernandez,Anthony Hernandez,Michel Pereira,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Main Event,Hernandez,12,,2,,0,31,31,,United States,Brazil,,
Rob Font vs. Kyler Phillips,Rob Font,Kyler Phillips,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Co-Main Event,Font,20,,8,,0,37,29,,United States,United States,,
Sumudaerji vs. Charles Johnson,Charles Johnson,Sumudaerji,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Main Card,Johnson,16,,6,,0,33,28,,United States,China,,
Jake Hadley vs. Cameron Smotherman,Cameron Smotherman,Jake Hadley,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Main Card,Smotherman,11,,4,,0,27,28,,United States,England,,
Darren Elkins vs. Daniel Pineda,Darren Elkins,Daniel Pineda,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Main Card,Elkins,28,,11,,0,40,39,,United States,United States,,
Matheus Nicolau vs. Asu Almabayev,Asu Almabayev,Matheus Nicolau,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Preliminary Card,Almabayev,20,,2,,0,30,31,,Kazakhstan,Brazil,,
Brad Katona vs. Jean Matsumoto,Jean Matsumoto,Brad Katona,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Preliminary Card,Matsumoto,15,,0,,0,25,32,,Brazil,Canada,,
Joselyne Edwards vs. Tamires Vidal,Joselyne Edwards,Tamires Vidal,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Preliminary Card,Edwards,13,,6,,0,29,26,,Panama,Brazil,,
Jessica Penne vs. Elise Reed,Elise Reed,Jessica Penne,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Preliminary Card,Reed,7,,4,,0,31,41,,United States,United States,,
Alice Ardelean vs. Melissa Martinez,Melissa Martinez,Alice Ardelean,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Preliminary Card,Martinez,7,,1,,0,27,32,,Mexico,Romania,,
Robelis Despaigne vs. Austen Lane,Austen Lane,Robelis Despaigne,UFC Fight Night: Pereira vs. Hernandez,10.19.2024,UFC Apex,no,Preliminary Card,Lane,12,,5,,0,36,36,,United States,Cuba,,
