fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Tai Tuivasa vs. Marcin Tybura,Marcin Tybura,Tai Tuivasa,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Main Event,24,15,8,6,0,0,38,31,,Poland,Australia,,
Bryan Battle vs. Ange Loosa,,,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Co-Main Event,10,10,2,3,0,0,29,29,,United States,Switzerland,,
Kennedy Nzechukwu vs. Ovince St. Preux,Ovince St. Preux,Kennedy Nzechukwu,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Main Card,26,12,17,4,0,0,40,31,,Haiti,Nigeria,,
Christian Rodriguez vs. Isaac Dulgarian,Christian Rodriguez,Isaac Dulgarian,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Main Card,10,6,1,0,0,0,26,27,,United States,United States,,
Pannie Kianzad vs. Macy Chiasson II,Macy Chiasson,Pannie Kianzad,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Main Card,8,16,3,7,0,0,32,32,,United States,Sweden,,
Gerald Meerschaert vs. Bryan Barberena,Gerald Meerschaert,Bryan Barberena,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Main Card,35,18,17,11,0,0,36,34,,United States,United States,,
Mike Davis vs. Natan Levy,Mike Davis,Natan Levy,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Preliminary Card,10,8,2,1,0,0,31,32,,United States,Israel,,
Josiane Nunes vs. Chelsea Chandler,Chelsea Chandler,Josiane Nunes,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Preliminary Card,5,10,2,1,0,0,33,30,,United States,Brazil,,
Ode Osbourne vs. Jafel Filho,Jafel Filho,Ode Osbourne,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Preliminary Card,15,12,3,6,0,0,30,32,,Brazil,United States,,
Josh Culibao vs. Danny Silva,Danny Silva,Josh Culibao,UFC Fight Night: Tuivasa vs. Tybura,03.16.2024,UFC Apex,no,Preliminary Card,8,11,1,2,0,1,27,29,,United States,Australia,,
