redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Tai Tuivasa,Marcin Tybura,Marcin Tybura,UFC Fight Night: Tuivasa vs. Tybura,Herb Dean,Submission,0,0,15 of 24,27 of 41,62%,65%,18 of 27,73 of 96,0 of 0,1 of 4,---,25%,0,1,1,4:08,"6' 2""","6' 3""","75""","78""",Southpaw,Orthodox
Bryan Battle,Ange Loosa,,UFC Fight Night: Tuivasa vs. Tybura,Mike Beltran,Could Not Continue,0,0,27 of 75,23 of 54,36%,42%,28 of 78,26 of 58,1 of 2,0 of 1,50%,0%,0,0,2,1:00,"6' 1""","5' 10""","77""","74""",Orthodox,Orthodox
Ovince Saint Preux,Kennedy Nzechukwu,Ovince Saint Preux,UFC Fight Night: Tuivasa vs. Tybura,Mark Smith,Decision - Split,1,0,143 of 276,106 of 250,51%,42%,143 of 276,106 of 250,0 of 2,0 of 1,0%,0%,0,0,3,5:00,"6' 3""","6' 5""","80""","83""",Southpaw,Southpaw
Christian Rodriguez,Isaac Dulgarian,Christian Rodriguez,UFC Fight Night: Tuivasa vs. Tybura,Chris Tognoni,Decision - Split,0,0,48 of 76,22 of 44,63%,50%,97 of 135,56 of 89,0 of 0,7 of 16,---,43%,0,2,3,5:00,"5' 7""","5' 7""","71""","71""",Orthodox,Orthodox
Pannie Kianzad,Macy Chiasson,Macy Chiasson,UFC Fight Night: Tuivasa vs. Tybura,Mark Smith,Submission,0,0,2 of 6,4 of 10,33%,40%,29 of 35,5 of 11,1 of 2,2 of 2,50%,100%,0,1,1,3:54,"5' 7""","5' 11""","66""","72""",Orthodox,Orthodox
Gerald Meerschaert,Bryan Barberena,Gerald Meerschaert,UFC Fight Night: Tuivasa vs. Tybura,Herb Dean,Submission,0,0,11 of 17,12 of 37,64%,32%,30 of 36,25 of 50,3 of 7,0 of 0,42%,---,2,0,2,4:23,"6' 1""","6' 0""","77""","72""",Southpaw,Southpaw
Natan Levy,Mike Davis,Mike Davis,UFC Fight Night: Tuivasa vs. Tybura,Mike Beltran,Submission,0,1,8 of 9,3 of 7,88%,42%,18 of 20,10 of 15,1 of 1,0 of 0,100%,---,0,1,2,1:43,"5' 9""","6' 0""","71""","72""",Southpaw,Orthodox
Josiane Nunes,Chelsea Chandler,Chelsea Chandler,UFC Fight Night: Tuivasa vs. Tybura,Chris Tognoni,Decision - Unanimous,0,0,47 of 105,58 of 130,44%,44%,49 of 108,100 of 176,0 of 0,2 of 2,---,100%,0,0,3,5:00,"5' 2""","5' 8""","67""","68""",Southpaw,Southpaw
Jafel Filho,Ode Osbourne,Jafel Filho,UFC Fight Night: Tuivasa vs. Tybura,Herb Dean,Submission,0,0,21 of 35,0 of 5,60%,0%,43 of 66,1 of 6,1 of 1,0 of 0,100%,---,2,0,1,4:27,"5' 7""","5' 7""","68""","73""",Orthodox,Southpaw
Josh Culibao,Danny Silva,Danny Silva,UFC Fight Night: Tuivasa vs. Tybura,Mark Smith,Decision - Split,0,0,87 of 202,45 of 107,43%,42%,89 of 205,56 of 119,0 of 4,4 of 9,0%,44%,0,1,3,5:00,"5' 10""","5' 11""","73""","70""",Orthodox,Switch
