fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Dricus Du Plessis vs Sean Strickland,Dricus Du Plessis,Sean Strickland,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,yes,Main Event,20,28,2,5,0,0,30,32,Held by Strickland,South Africa,United States,53%,47%
Raquel Pennington vs Mayra Bueno Silva,Raquel Pennington,Mayra Bueno Silva,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,yes,Co-Main Event,15,10,8,2,0,1,35,32,Held by Pennington,United States,Brazil,22%,78%
Neil Magny vs Mike Malott,Neil Magny,Mike Malott,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Main Card,28,10,11,1,0,1,36,32,,United States,Canada,86%,14%
Chris Curtis vs Marc-André Barriault,Chris Curtis,Marc-André Barriault,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Main Card,30,16,10,6,0,0,36,33,,United States,Canada,80%,20%
Movsar Evloev vs Arnold Allen,Movsar Evloev,Arnold Allen,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Main Card,17,19,0,2,0,0,29,29,,Russia,England,43%,57%
Garrett Armfield vs Brad Katona,Garrett Armfield,Brad Katona,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,9,13,3,2,0,0,27,32,,United States,Canada,91%,9%
Sean Woodson vs Charles Jourdain,Sean Woodson,Charles Jourdain,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,10,15,1,6,1,1,31,28,,United States,Canada,19%,81%
Ramon Taveras vs Serhiy Sidey,Ramon Taveras,Serhiy Sidey,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,9,10,2,1,0,0,30,27,,United States,Canada,83%,17%
Gillian Robertson vs Polyana Viana,Gillian Robertson,Polyana Viana,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,12,13,8,6,0,0,28,31,,Canada,Brazil,80%,20%
Sam Patterson vs Yohan Lainesse,Sam Patterson,Yohan Lainesse,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,10,9,2,2,1,0,27,31,,United Kingdom,Canada,37%,63%
Jasmine Jasudavicius vs Priscila Cachoeira,Jasmine Jasudavicius,Priscila Cachoeira,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,9,12,3,5,0,0,34,35,,Canada,Brazil,10%,90%
Jimmy Flick vs Malcolm Gordon,Jimmy Flick,Malcolm Gordon,UFC 297: Strickland vs. Du Plessis,01.20.2024,Scotiabank Arena,no,Preliminary Card,16,14,7,7,0,0,33,33,,United States,Canada,68%,32%
