redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Roman Dolidze,Nassourdine Imavov,Nassourdine Imavov,UFC Fight Night: Dolidze vs. Imavov,Herb Dean,Decision - Majority,0,1,34 of 152,112 of 189,22%,59%,59 of 190,154 of 248,0 of 4,0 of 0,0%,---,0,1,5,5:00,"6' 2""","6' 3""","76""","75""",Orthodox,Orthodox
Renato Moicano,Drew Dober,Renato Moicano,UFC Fight Night: Dolidze vs. Imavov,Mark Smith,Decision - Unanimous,0,0,23 of 42,23 of 59,54%,38%,142 of 177,36 of 73,3 of 6,1 of 2,50%,50%,0,0,3,5:00,"5' 11""","5' 8""","72""","70""",Orthodox,Southpaw
Randy Brown,Muslim Salikhov,Randy Brown,UFC Fight Night: Dolidze vs. Imavov,Kerry Hatley,KO/TKO,1,0,13 of 46,10 of 22,28%,45%,13 of 46,10 of 22,0 of 0,0 of 0,---,---,0,0,1,3:17,"6' 3""","5' 11""","78""","70""",Orthodox,Orthodox
Viviane Araujo,Natalia Silva,Natalia Silva,UFC Fight Night: Dolidze vs. Imavov,Mark Smith,Decision - Unanimous,0,0,26 of 67,38 of 128,38%,29%,63 of 110,65 of 157,1 of 9,0 of 1,11%,0%,0,0,3,5:00,"5' 4""","5' 4""","68""","65""",Orthodox,Southpaw
Aliaskhab Khizriev,Makhmud Muradov,,UFC Fight Night: Dolidze vs. Imavov,Herb Dean,Could Not Continue,0,0,1 of 2,1 of 1,50%,100%,1 of 2,1 of 1,0 of 0,0 of 0,---,---,0,0,1,0:11,"5' 9""","6' 2""","74""","75""",Southpaw,Orthodox
Gilbert Urbina,Charles Radtke,Charles Radtke,UFC Fight Night: Dolidze vs. Imavov,Mark Smith,KO/TKO,0,2,16 of 38,30 of 47,42%,63%,16 of 38,33 of 51,0 of 1,0 of 0,0%,---,0,0,1,4:47,"6' 3""","5' 9""","75""","72""",Orthodox,Orthodox
Molly McCann,Diana Belbita,Molly McCann,UFC Fight Night: Dolidze vs. Imavov,Kerry Hatley,Submission,0,0,42 of 91,29 of 77,46%,37%,43 of 92,29 of 77,2 of 2,0 of 0,100%,---,1,0,1,4:59,"5' 4""","5' 7""","62""","68""",Orthodox,Orthodox
Azat Maksum,Charles Johnson,Charles Johnson,UFC Fight Night: Dolidze vs. Imavov,Eric McMahon,Decision - Unanimous,1,0,38 of 163,76 of 140,23%,54%,40 of 166,81 of 149,2 of 7,2 of 6,28%,33%,1,3,3,5:00,"5' 7""","5' 9""","70""","70""",Southpaw,Switch
Themba Gorimbo,Pete Rodriguez,Themba Gorimbo,UFC Fight Night: Dolidze vs. Imavov,Herb Dean,KO/TKO,1,0,12 of 18,0 of 5,66%,0%,12 of 18,0 of 5,0 of 1,0 of 0,0%,---,0,0,1,0:32,"6' 1""","5' 9""","77""","71""",Orthodox,Switch
JeongYeong Lee,Blake Bilder,JeongYeong Lee,UFC Fight Night: Dolidze vs. Imavov,Mark Smith,Decision - Unanimous,0,0,49 of 82,19 of 54,59%,35%,75 of 121,36 of 77,2 of 3,0 of 3,66%,0%,0,0,3,5:00,"5' 10""","5' 8""","73""","68""",Orthodox,Switch
Luana Carolina,Julija Stoliarenko,Luana Carolina,UFC Fight Night: Dolidze vs. Imavov,Eric McMahon,KO/TKO,0,0,66 of 136,16 of 59,48%,27%,138 of 230,21 of 68,2 of 3,1 of 5,66%,20%,0,3,3,4:52,"5' 6""","5' 7""","69""","66""",Orthodox,Orthodox
Landon Quinones,MarQuel Mederos,MarQuel Mederos,UFC Fight Night: Dolidze vs. Imavov,Kerry Hatley,Decision - Unanimous,0,0,55 of 149,60 of 146,36%,41%,78 of 176,74 of 165,1 of 3,0 of 5,33%,0%,0,0,3,5:00,"5' 9""","5' 10""","70""","69""",Southpaw,Orthodox
Thomas Petersen,Jamal Pogues,Jamal Pogues,UFC Fight Night: Dolidze vs. Imavov,Eric McMahon,Decision - Unanimous,0,0,58 of 86,65 of 124,67%,52%,116 of 153,66 of 125,1 of 6,0 of 0,16%,---,0,0,3,5:00,"6' 1""","6' 3""","74""","77""",Southpaw,Orthodox
