fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_fan ,loser_fan
Dricus Du Plessis vs. Israel Adesanya,Dricus Du Plessis,Israel Adesanya,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,yes,Main Event,21,24,2,3,0,0,30,35,,South Africa,Nigeria,,
Kai Kara-France vs. Steve Erceg,Kai Kara-France,Steve Erceg,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Co-Main Event,24,12,11,2,0,0,31,29,,New Zealand,Australia,,
Mateusz Gamrot vs. Dan Hooker,Dan Hooker,Mateusz Gamrot,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Main Card,23,24,12,2,0,0,34,33,,New Zealand,Poland,,
Tai Tuivasa vs. Jairzinho Rozenstruik,Jairzinho Rozenstruik,Tai Tuivasa,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Main Card,14,14,5,7,0,0,36,31,,Suriname,Australia,,
Jingliang Li vs. Carlos Prates,Carlos Prates,Jingliang Li,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Main Card,19,19,6,8,0,0,31,36,,Brazil,China,,
Junior Tafa vs. Valter Walker,Valter Walker,Junior Tafa,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,11,5,1,2,0,0,26,27,,Brazil,Australia,,
Josh Culibao vs. Ricardo Ramos,Ricardo Ramos,Josh Culibao,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,16,11,6,3,0,1,29,30,,Brazil,Australia,,
Casey O'Neill vs. Luana Santos,Casey O'Neill,Luana Santos,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,9,8,2,1,0,0,26,24,,Scotland,Brazil,,
Jack Jenkins vs. Herbert Burns,Jack Jenkins,Herbert Burns,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,12,11,3,5,0,0,31,36,,Australia,Brazil,,
Tom Nolan vs. Alex Reyes,Tom Nolan,Alex Reyes,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,7,13,1,4,0,0,24,37,,Australia,United States,,
Kenan Song vs. Ricky Glenn,Kenan Song,Ricky Glenn,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,21,22,8,8,0,2,34,35,,China,United States,,
Stewart Nicoll vs. Jesus Aguilar,Jesus Aguilar,Stewart Nicoll,UFC 305: Du Plessis vs. Adesanya,08.17.2024,RAC Arena,no,Preliminary Card,10,8,2,0,0,0,28,29,,Mexico,Australia,,
