redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Robert Whittaker,Ikram Aliskerov,Robert Whittaker,UFC Fight Night: Whittaker vs. Aliskerov,Marc Goddard,KO/TKO,1,0,14 of 21,5 of 15,66%,33%,14 of 21,5 of 15,0 of 0,0 of 0,---,---,0,0,1,1:49,"6' 0""","6' 0""","73""","76""",Orthodox,Southpaw
Sergei Pavlovich,Alexander Volkov,Alexander Volkov,UFC Fight Night: Whittaker vs. Aliskerov,Jason Herzog,Decision - Unanimous,0,0,46 of 134,83 of 159,34%,52%,46 of 134,83 of 160,0 of 1,0 of 0,0%,---,0,0,3,5:00,"6' 3""","6' 7""","84""","80""",Southpaw,Orthodox
Kelvin Gastelum,Daniel Rodriguez,Kelvin Gastelum,UFC Fight Night: Whittaker vs. Aliskerov,Rich Mitchell,Decision - Unanimous,0,0,112 of 238,127 of 265,47%,47%,123 of 250,132 of 273,4 of 4,0 of 0,100%,---,0,0,3,5:00,"5' 9""","6' 1""","71""","74""",Southpaw,Southpaw
Shara Magomedov,Antonio Trocoli,Shara Magomedov,UFC Fight Night: Whittaker vs. Aliskerov,Marc Goddard,KO/TKO,1,0,82 of 108,16 of 34,75%,47%,108 of 136,39 of 77,0 of 0,0 of 7,---,0%,0,0,3,2:27,"6' 2""","6' 5""","73""","80""",Orthodox,Orthodox
Johnny Walker,Volkan Oezdemir,Volkan Oezdemir,UFC Fight Night: Whittaker vs. Aliskerov,Jason Herzog,KO/TKO,0,2,15 of 33,37 of 67,45%,55%,15 of 33,37 of 67,0 of 0,0 of 0,---,---,0,0,1,2:28,"6' 6""","6' 2""","82""","75""",Orthodox,Orthodox
Nasrat Haqparast,Jared Gordon,Nasrat Haqparast,UFC Fight Night: Whittaker vs. Aliskerov,Rich Mitchell,Decision - Split,0,0,146 of 316,141 of 299,46%,47%,156 of 330,170 of 338,0 of 0,0 of 13,---,0%,0,0,3,5:00,"5' 10""","5' 9""","72""","68""",Southpaw,Orthodox
Muhammad Naimov,Felipe Lima,Felipe Lima,UFC Fight Night: Whittaker vs. Aliskerov,Thomas Fan,Submission,0,0,30 of 85,37 of 70,35%,52%,55 of 120,62 of 98,1 of 5,1 of 2,20%,50%,0,1,3,1:15,"5' 9""","5' 6""","70""","68""",Orthodox,Orthodox
Rinat Fakhretdinov,Nicolas Dalby,Rinat Fakhretdinov,UFC Fight Night: Whittaker vs. Aliskerov,Thomas Fan,Decision - Split,0,0,68 of 134,66 of 134,50%,49%,99 of 173,123 of 195,5 of 11,0 of 4,45%,0%,0,0,3,5:00,"6' 0""","5' 11""","74""","74""",Orthodox,Orthodox
Kyung Ho Kang,Muin Gafurov,Muin Gafurov,UFC Fight Night: Whittaker vs. Aliskerov,Marc Goddard,Decision - Unanimous,0,0,12 of 35,47 of 71,34%,66%,119 of 152,110 of 144,3 of 11,1 of 3,27%,33%,0,0,3,5:00,"5' 9""","5' 7""","73""","68""",Orthodox,Southpaw
Magomed Gadzhiyasulov,Brendson Ribeiro,Magomed Gadzhiyasulov,UFC Fight Night: Whittaker vs. Aliskerov,Jason Herzog,Decision - Majority,0,0,26 of 39,17 of 35,66%,48%,93 of 135,29 of 51,5 of 5,3 of 6,100%,50%,0,1,3,5:00,"6' 2""","6' 3""","75""","81""",Orthodox,Orthodox
Xiao Long,ChangHo Lee,ChangHo Lee,UFC Fight Night: Whittaker vs. Aliskerov,Thomas Fan,Decision - Split,0,0,68 of 103,84 of 119,66%,70%,135 of 187,173 of 228,2 of 5,2 of 9,40%,22%,0,0,3,5:00,"5' 8""","5' 8""","70""","69""",Orthodox,Orthodox
